aplikasi,fold,text,true,pred,status
Tokopedia,1,"sayangnya beberapa toko tidak menyediakan kurir JNE, malah menggunakan jasa JNT, yang mana pelayanan di wilayah NTT ( kab. Ngada) sangat buruk, masih mending kalau paketnya COD kalau yang pembayaran sudah lunas pasti kecewa bila paket tiba di kota tujuan malahan paketnya didiamin di gudang sampai 3 hari alhasil paket dikirim kembali ke pengirim. ketika ditanya kok bisa begini? (alasannya paket terlalu banyak/malas ngantarinnya) sudah kepotong biaya pengiriman, kepotong juga biaya pengembalian",negatif,negatif,BENAR
Tokopedia,1,pesanan lebih sering gagal dikirim kapok belanja disini padahal duit dah masuk,negatif,negatif,BENAR
Tokopedia,1,bagus tapi terus tingkatkan,positif,positif,BENAR
Tokopedia,1,"penjualnya banyak penipu .. gambar beda ama yg dikirim , palsuu .. ada yg dikirim komponen nggak lengkap juga .. tp tokonya aman² aja nggak kena sanksi atau apa kek .. di filter napa .. toko yang ratingnya banyak bintang jeleknya di blokir aja udah .. biar kapok ..",negatif,negatif,BENAR
Tokopedia,1,mantap,positif,positif,BENAR
Tokopedia,1,"knp di hp saya aplikasinya error mu yah, setiap pas mau lanjut beli *ada gangguan d rumah Tokopedia coba lagi*",negatif,negatif,BENAR
Tokopedia,2,baik terimakasih meskipun agak lama responnya tapi itu demi keamanan dana refund kita juga . memberi waktu ke kita untuk membuktikan dana tetap aman dan tidak disalahgunakan orang lain .dan dana saya sudah bisa ditarik setelah 10 hari .,positif,negatif,SALAH
Tokopedia,2,belanja murah,positif,positif,BENAR
Tokopedia,2,"Pertama kali ngereturn barang, yang dikembalikan dananya cuma setengahnya njir😹",negatif,negatif,BENAR
Tokopedia,2,baru tgl 22 update masa minta update lagi,netral,positif,SALAH
Tokopedia,2,ok,positif,positif,BENAR
Tokopedia,2,membuat kita muda untuk mencari barang yg kita perlukan,netral,negatif,SALAH
Tokopedia,2,Mohon perbaikan saat beli pulsa terus pake voucher diskon aplikasi tidak bisa memproses.. terimakasih,negatif,negatif,BENAR
Tokopedia,2,Mantap,positif,positif,BENAR
Tokopedia,2,Sering minta update terus.... Sedangkan Performa biasa saja.,negatif,positif,SALAH
Tokopedia,2,saya di tipu di tokopedia,negatif,positif,SALAH
Tokopedia,2,Tokopedia tolong dong kaya dulu lagi bisa lihat kapan terakhir toko aktif biar jadi patokan kalo belanja. Soalnya saya sering banget belanja tapi tau tau toko nya udah tutup akhirnya saya nunggu lagi padahal barangnya sedang saya butuhin. Terimakasih,netral,negatif,SALAH
Tokopedia,2,Jelek,negatif,positif,SALAH
Tokopedia,2,cuma gabut aku,netral,positif,SALAH
Tokopedia,2,ok,positif,positif,BENAR
Tokopedia,2,menu pencarian tidak akurat,negatif,positif,SALAH
Tokopedia,2,"Yang terhormat Pihak Tokopedia,saya ingin menyampaikan komplain. Mengapa semua pembayaran di Tokopedia walaupun COD pastinya ada S&K tolonglah jangan menggunakan S&K saya sebagai pemakai aplikasi merasa kurang nyaman",netral,negatif,SALAH
Tokopedia,2,"aplikasi ga bagus, gue beli token listrik udah bayar pake virtual account lama di proses nya",negatif,negatif,BENAR
Tokopedia,2,"beli pulsa kok lamaa, maksudnya apa. ini keburu abis kuota saya😭😭",negatif,negatif,BENAR
Tokopedia,2,mantab,netral,positif,SALAH
Tokopedia,2,kenapa gak bisa daftar tokped afilliate,netral,positif,SALAH
Tokopedia,2,"jelek banget sekarang pelayanan komplain & customer service di aplikasinya. mau retur barang aja ribet banget masa harus kirim barang dengan resi manual, bukan lewat aplikasi. udh diinput resi nya malah gak valid. udh input ulang tetep gak valid. nanya cs malah jawabnya kaya bot. hadeh, kalah jauh dibanding si ungu & si oren pelayanan komplain & cs nya sekarang.",negatif,negatif,BENAR
Tokopedia,2,pengiriman lamaaaaaaaaaa bnget apk jelekk,negatif,positif,SALAH
Tokopedia,2,"ada toko ga jelas, pesanan barang 1 item dengan qty. 2, barang dikirim namun pas dibuka isi paket kosong hanya tulisan untuk hubungi nomor WA penjual, setelah di WA penjual slow respon dan berjanji akan mengirim barang tsb, namun pas cek resi nya via Shopee pertanggal 23 sampai sekarang belum dikirim kirim, lalu invoice juga aneh total belanja 264.510 itu gimana solusi nya dari Tokopedia, merasa dirugikan, bahkan sampai saat ini dana belum juga masuk kesaya",negatif,negatif,BENAR
Tokopedia,2,"apk bodoh, saya konsumen lama belanja sudah hampir 100jt, ada keluhan saya sebagai konsumen yg dibrugikan, tidak menerima keluhan sampai akun saya di blokir segala😡",negatif,negatif,BENAR
Tokopedia,2,diaplikasi laingk bisa,netral,positif,SALAH
Tokopedia,2,bagus,positif,positif,BENAR
Tokopedia,2,saya sudH daftar tapi tidak bisa masuk akum jadi bingung saya dgn aplikasi ini,negatif,negatif,BENAR
Tokopedia,2,Akhir-akhir ini ongkir di Tokopedia melambung tinggi. Ada baiknya kita pamit!,negatif,negatif,BENAR
Tokopedia,2,e-commerce lelet,negatif,positif,SALAH
Tokopedia,2,"tokopedia pengiriman lelet tanggal estimasi lewat paket belum juga sampai, bagus shopee👍",negatif,negatif,BENAR
Tokopedia,2,tidak bisa cod,negatif,positif,SALAH
Tokopedia,2,baik saja coba,positif,positif,BENAR
Tokopedia,2,oke mantap,positif,positif,BENAR
Tokopedia,2,"parah toped sekarang,expedisi g ada yg beres,ga bisa tegas ke expedisi jg,penjual dicekik abis,korupsi ongkir jnt jelas2 dilabel ny,tapi diaplikasi lebih tinggi, dikomplain diabaikan,apalagi semenjak gabung tiktok,penjual diancam dengan menerima dana lebih lama dari yg pernah terjadi sebelumnya,penjual diancam jika tidak bergabung dengan tiktok,bla..bla..bla.,wah makin parah ini,ga seperti marketplace sebelah..yg bisa tegas ke expedisi, parah Tokopedia semenjak dijajah tiktok.. selesai sudah",negatif,negatif,BENAR
Tokopedia,2,Kak kok gak bisa bayar ditempat ya,netral,positif,SALAH
Tokopedia,2,memudahkan bayar pake dana belanja di Tokopedia,netral,positif,SALAH
Tokopedia,2,Tokopedia mantap,positif,positif,BENAR
Tokopedia,2,banyak penipu skrg di apk ini,negatif,positif,SALAH
Tokopedia,2,Respon pengaduan pelanggan LAMBAT!,negatif,positif,SALAH
Tokopedia,2,"Bagus. Lebih baik kagi kakau sering ada promo , diskon atau flashsale.",positif,negatif,SALAH
Tokopedia,2,"lemot banget, buka tab aja lelet",negatif,positif,SALAH
Tokopedia,2,"jangan pernah pakai apk ini guys , komplain 3 hari , di eksekusi juga 3 hari",netral,negatif,SALAH
Tokopedia,2,good job,positif,positif,BENAR
Tokopedia,2,"percuma banyak promo tapi pengiriman sering terlambat, paket saya yg sudah di estimasikan datang di tanggal 25 malah GK datang datang sampai sekarang",negatif,negatif,BENAR
Tokopedia,2,Tokopedia mantap pengembalian dana mudah,positif,positif,BENAR
Tokopedia,2,"ok lah, semuanya dilakukan simple dan mudah",positif,positif,BENAR
Tokopedia,2,Bagus,positif,positif,BENAR
Tokopedia,2,"Sangat Mudah Untuk Transaksi Dan Berbelanja.Sedikit Saran,Agar Kedepannya Perbanyak Diskon Dan Bebas Ongkir.Seperti Shopee Dan Marketplace Lainnya",positif,negatif,SALAH
Tokopedia,2,"susah belanja di sini, gratis ongkir gak jelas, ingin tanya ke CS yg jawab robot terus, jelek bgt",negatif,negatif,BENAR
Tokopedia,2,mantap...,positif,positif,BENAR
Tokopedia,2,mantappp,netral,positif,SALAH
Tokopedia,2,"Ya diupdate malah makin jelek, tombol tombol menu tagihan ga respon. udah force stop dan buka masih tetep gabisa.",negatif,negatif,BENAR
Tokopedia,2,mantep lah pokok ya,positif,positif,BENAR
Tokopedia,2,"Aplikasi ini paling sering update dibanding dengan aplikasi online lainnya, sangat menyebalkan!!!!",netral,negatif,SALAH
Tokopedia,2,Aplikasi buruk tidak bisa pembatalan pesanan,negatif,positif,SALAH
Tokopedia,2,saya sangat suka belanja di tokopedia krn aman nyaman dan terpercaya.trmks,positif,negatif,SALAH
Tokopedia,2,Mantap,positif,positif,BENAR
Tokopedia,2,"Aplikasi tidak kayak dulu gampang dibuka, agak lemot apalagi kalau buka gambar produk lama sekali...",negatif,negatif,BENAR
Tokopedia,2,pas di dlm keranjang barang diskon 50% dari harga aslinya..karna ada kupon..pas di bayar eh malah muncul seperti jaringan tidak stabil..dan pas di ulangin lagi malah muncul saya sudah mencoba 3x kupon..dan harganya normal lagi..aneh,netral,negatif,SALAH
Tokopedia,2,reapon tokopedia care lama solusi tidak terselesaikan beda dengan toko oren untuk retur barang lama bgt,negatif,negatif,BENAR
Tokopedia,2,"cukup baik, dan masih lancar tanpa kendala",positif,negatif,SALAH
Tokopedia,2,banyak bug nya seperti gambar produk yang tidak ada padahal jaringan internet saya lancar tolong di perbaiki,positif,negatif,SALAH
Tokopedia,2,"kenapa semenjak tokopedia gabung ama tiktok, jualan makin sulit dan ribet, padahal dengan adanya Tokopedia sangat terbantu dan dipermudah, namun sejak gabung ama tiktok makin gak bisa jualan karena makin ribet, mending kembali seperti semula min.",netral,negatif,SALAH
Tokopedia,2,so far Mantap,positif,positif,BENAR
Tokopedia,2,Event spin scam doang‼️,netral,positif,SALAH
Tokopedia,2,"Dulu tokopedia sering banyak voucher dan diskon tapi sekarang malah banyak biaya"" Admin lain nya, sekarang jd mikir"" Dulu mau blanja di tokped",netral,negatif,SALAH
Tokopedia,2,ok,positif,positif,BENAR
Tokopedia,2,"tolong diperbaiki lagi ekspedisi nya, masa paket ga jalan selama seminggu, komplain cs ga dibales apakah tanda"" akan bangkrut?",negatif,negatif,BENAR
Tokopedia,2,bagus dan sangat menarik pelanggan,positif,positif,BENAR
Tokopedia,2,Saya senang belanja di toko pedia. Apapun barang kita butuhkan ada. Kita belanja bisa belanja dengan mudah tampa harus keluar rumah,positif,negatif,SALAH
Tokopedia,2,"Fitur tanya di diskusi tidak bisa digunakan padahal sdh diupdate versi terbaru, 🤦",negatif,negatif,BENAR
Tokopedia,2,"mau retur ribet, sulit berbelit belit. terlalu berpihak sama penjual. nomer resi pengiriman retur barang tidak langsung keluar. rentan kehilangan barang returan",netral,negatif,SALAH
Tokopedia,2,dari dulu belanja lewat app ini tp baru kali sy sangat kecewa banya toko yang bodong pengajuan komplain selalau bermasalah sampai batas waktu yg di tentukan jd selesai otomatis parah,negatif,negatif,BENAR
Tokopedia,2,"Dulu ini menjadi aplikasi favorit saya, tp makin kesini makin buruk, pembatalan otomatis tidak berjalan sehingga saya hrs membatalkan secara manual, tp malah hrs nunggu 48 jam utk uang kembali, saya hrs menunggu respon dr penjual yg di chat aja gak ada responnya, cs juga jawabannya itu2 saja.",negatif,negatif,BENAR
Tokopedia,2,aplikasi yg bagus..ditambah gampang dan dipermudah cara pembelanjaannya..semoga banyak diskon yang lebih menguntungkan buat para konsumen...,positif,negatif,SALAH
Tokopedia,2,"ini gimana yah apk nya kok selalu realog padahal saya mau buka apk nya tapi malah realog berulang"" mohon di perbaiki lagi",netral,negatif,SALAH
Tokopedia,2,padahal pengguna setia tokped tapi kali ini bener di bikin kesel sama Tokopedia care nya dana dibtahan tapi ga ngasih solusi dan ga mau bales chat....ga ngasih jawaban sama solusi mudah mudahan bintang 1 menjadi lebih baik lagi,positif,negatif,SALAH
Tokopedia,2,error mulu,negatif,positif,SALAH
Tokopedia,2,semoga bermanpaat,positif,positif,BENAR
Tokopedia,2,good,positif,positif,BENAR
Tokopedia,2,keren,positif,positif,BENAR
Tokopedia,2,mantap,positif,positif,BENAR
Tokopedia,2,aplikasi busuk setelah update malah gk bisa log in,netral,negatif,SALAH
Tokopedia,2,good,positif,positif,BENAR
Tokopedia,2,"banyak bug, lagi checkout tiba tiba gangguan, udah cape cape nyari barang, barang yng udah di masukin keranjang sbelumnya malah ga ada, udh terlanjur cape nyari barang, trakhir pake tokped dah kalo bgini, pegel pake tokped, dah lah, bikin emosi",negatif,negatif,BENAR
Tokopedia,2,"Kupon ku 2,4 jt hilang",negatif,positif,SALAH
Tokopedia,2,bisa beli ap king,netral,positif,SALAH
Tokopedia,2,"Alhamdulillah, belanja di Tokopedia sangat memuaskan",positif,negatif,SALAH
Tokopedia,2,mantap,positif,positif,BENAR
Tokopedia,2,"Refund dananya lama banget hadeh, bintang satu attitude nol.",negatif,negatif,BENAR
Tokopedia,2,barang barang kualified dan tepat waktu,netral,positif,SALAH
Tokopedia,2,pelayanan buruk banyak penipu d toped,negatif,positif,SALAH
Tokopedia,2,"aplikasi teteng, klik apapun lelet kali",netral,positif,SALAH
Tokopedia,2,jangan Pake Pengiriman JNT hapus kerjasamanya.....lelet banget....masih mending yang j lain lah,netral,negatif,SALAH
Tokopedia,2,kenapa apl tokped lama2 sering error ya mau pilih pembayaran uda 24jam lbh aja gak bisa2 gimana mau belanja disini payah lama2 servernye jadi males dah sm tokped perbaikinlah segera biar belanja disini jd nyaman !!,negatif,negatif,BENAR
Tokopedia,2,"Mending ngk usah di update deh,klo justru jadi ngk bisa masuk akun saya .",netral,negatif,SALAH
Tokopedia,2,setelah diupdate aplikasi toped gak bisa dibuka kenapa?,negatif,negatif,BENAR
Tokopedia,2,pelayanannya jelek,negatif,positif,SALAH
Tokopedia,3,"bagus, dan tolong pertahankan",positif,positif,BENAR
Tokopedia,3,Lemot,negatif,positif,SALAH
Tokopedia,3,bagus,positif,positif,BENAR
Tokopedia,3,Aplikasi jelek,negatif,positif,SALAH
Tokopedia,3,saran aj kalau bisa semua produk bisa cod,netral,negatif,SALAH
Tokopedia,3,"alhamdulillah ,,,,, segala puji bagi Allah Ta'ala",netral,negatif,SALAH
Tokopedia,3,saya kena tipu barang di tokopedia. sampai saat ini belum ada penanganan kelanjutannya. saya hanya minta uang kembali. tolong bantu proses. .,negatif,negatif,BENAR
Tokopedia,3,"sekarang harga barang mahal ,ongkir mahal , mending Oren harga barang lebih murah ,gratis ongkir, tokped paylater bunga gila",negatif,negatif,BENAR
Tokopedia,3,"Jelek, harga berubah ketika mau pesan barang",negatif,positif,SALAH
Tokopedia,3,ribet,negatif,positif,SALAH
Tokopedia,3,produk nya aslinya suka banget dengan Tokopedia,positif,negatif,SALAH
Tokopedia,3,"halah rusak, saya dapat spin dan dapat hadiah kupon 2,4jt dengan syarat belanja 2 produk, pas saya baca syarat dan ketentuannya tidak ada detail minimal pembelian, ya saya gas lah beli 2 produk, habis beli langsung ada tulisan selamat anda dapat kupon 2,4 juta, pas di klik langsung ilang entah kemana???!!",negatif,negatif,BENAR
Tokopedia,3,"semoga Tuhan memberkati, keselamatan dan kebahagiaan ummat manusia di bumi ini. Amin.",netral,negatif,SALAH
Tokopedia,3,anehh...pas di dlm keranjang barang diskon 50% dari harga aslinya..karna ada kupon..pas di bayar eh malah muncul seperti jaringan tidak stabil..dan pas di ulangin lagi malah muncul saya sudah mencoba 3x kupon..dan harganya normal lagi..aneh👎👎👎👎,negatif,negatif,BENAR
Tokopedia,3,aplikasi yang masih ada modus penipuan,negatif,positif,SALAH
