userName,score,content
Nadila Oktaviani,1,"pengiriman nya lama,, sekarang kadang malah di batalin oleh sistem"
Fadly Rahman Hakim,5,"Aplikasinya mudah dan harga murah, sejauh ini belanja disini hampir selalu puas, ya walau ada sedikit seller yang kurang memuaskan. Tapi masih aman laa banyakan yang memuaskan, pembayaran juga beragam, tingkatkan terus performanya ya"
Azriel Majid,1,"panen event dapet vc 15k tapi gabisa di pake, udah chat cs engga membatu sama sekali. buat apa ngasih hadiah kalo ga bisa di pake"
Asim Sonjaya,5,saya heran lazada skarang harga smakin tinggi selisih 10% dari sebelah dan sekarang ongkir ny mahal.... jd gx pernah blanja skarang di lazada....
Alfina Eriyandra,5,mantap
SAYASUKAMEKDI,1,bisa gak sih iklan nya gausah langsung bikin saya masuk ke lazada? saya lagi nonton drama jadi susah nyebelin tau
Nur Aini,5,lazada yang paling ku andalkan the best markotop semoga tidak mengecewakan pelanggan 👍👍👍
KhairulAmri29,5,sangat bagus produknya
Puan Sahda,4,"aplikasinya ringan, pengiriman Lex id lumayan cepat, gratis ongkir belum sampai 100% jika luar kota dan provinsi"
Raffy Amin,1,"buat akun kayak ngelamar kerja, buruk!!"
Ludiya Ningsih,4,Ada apa dengan lazada
Indah Suci,5,baik sekali
Wahyu Lubis,5,mantap
Arman,1,banyak barang tidak sesuai
Omen Yaman,5,mantap
Madalih Asbah,4,ok
Suaemi anto Suhaemi,5,say mau secara geratis pocerr ini di aktipkn superti Biya Sanja say sudah bergabung di Garuda Indonesia ya kawan ku bohong di aktipkn tiyap hari ya trmkasih ya
Devan feriyansah,2,Oke
Muchsin saja,4,"lazada tak punya pengiriman sendiri, harga barang cepat ber ubah ubah, kadang harga tinggi kadang rendah."
Ajang Suing,5,kasih yg sempurna buat yg istimwa
Bobby Khaliwat,5,lazada muantap coy sangat berguna buat masyarakat buanyakkkkkkk
Fathan Al malik,3,"fitur nya sudah bagus ada potongan dengan lazkoin, tapi tolong dong buat pihak lazada kasih kami gratis ongkir, min dibawah 50 RB, skrang ini gratis ongkir nya mahal sekali min 115rb itupun hanya di potong 10rb, lama lama bisa pindah ke e-commerce sebelah, padahal sedang senang senang nya belanja di lazada"
Siti Khuzemah,5,Setiap kali pesan barangnya selalu sesuai harapan
tody raga,5,oke
Kota Pacitan,5,bagus.
Isnawati Nabila,5,Lazada banyak promonya.. 👍
Zacky Zidan,5,mantap
Iwan Hermawan,3,"ongkirnya selalu mahal ,pdhal belanja lebih dari 40rb,pdahal selalu laganganan belanja di apk ini. masih kena ongkir. terus pesanan juga pada lama² gak sesuai waktu,"
Iwayancitraa Nova,5,senang belanja lazada
Sulung Wahyu,5,"mantap ada, gratis ongkirnya"
Yasmin,5,keren
Alvino Saputra,5,book=buku keep=menyimpan bokep=jepang
M hasan Al fatih,5,godd
Rofiki Fiki,5,lazada fresh & smooth
Ratna Sari,3,tiga dlu KLO bagus tambah lagi
Yadi Riyadi,1,"Dengan dukungan AI layanan Lazada malah semakin menjengkelkan, respon aplikasi dan seller jadi semakin lambat dan lama. Contoh : 1. Saya tanya pesanan beberapa barang, shop asistant menjawab pesanan saya akan tiba pada tgl. 30 Agustus 2025 padahal hari sudah tanggal 31 Aguatus 2025. 2. Setelah tanya pesanan lewat chatt muncul notifikasi, pesanan anda akan dibatalkan pada tgl. 15 bulan berikutnya. Masa konsumen harus menunggu sampai 2 minggu lebih / setengah bulan ? Inikah dukungan AI ???"
Nuril lailiah,5,amanah dan pengiriman cepat
Syahara azhari,5,"cepat,murah,terjamin"
Brawijaya Tegal8,5,warbiasa lazada
Andi Wiyana,1,Akun lama sekarang jarang banget di kasih gratis ongkir selama berminggu-minggu... beda sama akun baru sering dapat gratis ongkir...
Mulyadi Nazril,5,mantap parianya
Rini Kumala sari,3,bagus sih tapi sayangnya ongkirnya terlalu mahal hingga puluhan ribu dan juga tidak ada pemilihan pengantaran itu saja mohon di perbaiki lagi ya apknya
haru 1,5,ok
Nando Aldani,5,lumayan lah
Nyi Khoerunisa,5,lazada kenapa 2 hari ini enggak ada sinyal terus padahal sinyalku full ada internetnya aku buka aplikasi lazada sekarang enggak ada sinyal terus apa bisa di perbaiki aplikasinya supaya bisa terhubung dengan internet buka aplikasi lain bisa
Did Sarsidi,5,aplikasi yg sangat membantu. mau belanja tinggal klik pesen. apapun kebutuhannya tinggl klik.. simple banget semua kebutuhan ada👍👍👍👍lazada it's ok
Fauzil 212,5,zos lazada
Akyra,1,payah GK ada paylater
ambar maulana,1,"mantap banyak diskonya, terima kasih lazada"
Achmad Moeriza,5,good seller
Ansanto Suprapto,5,barangnya bagus
Een aditya117,5,good
Muhamad Akbar,2,"next update coba diganti warna backgroundnya jgn cuma putih polos monoton banget bikin cepet bosen, coba diubah ui nya buat lebih berwarna"
Nurdin Komarudin,5,Mantap lah pokoknya lazada is the best
Kasmin Riyanta,3,bagus kurirnya dsn tepat waktunya tapi kadang pesanan tidak sesuai yg digambar
Sutoko 2808,1,tolong untuk pihak lazada penjual yang harga dagangannya ga masuk akal di down akunnya seperti j&k project biar ke depanya lebih baik lagi
Abdul Majid,1,"aplikasi payah, kebanyakan iklan gak jelas. ongkinrnya semakin mahal...."
usman gumanty gemstone,5,mantap... belanja jadi ga perlu panas panasan
Anggiana Anggara,5,Tambahin promo ongkirnya dong kayak tahun 23-24... Tahun sekerang lazada melempem kalah sama tts sama sioren..
Ton No12,5,mantap yang penting jangan ada yng nipu2 bos
K20 Gang alfa,5,sangat baik
Selviana nadifa,2,lazada sekarang ongkir nya mahal🤔🤔🤔
Cas Madi,5,pokoknya yang ada di sini dan saya sudah sering pesan tidak kecewa
Grtheo Ar,5,Baik
raihan abiyyu,5,Aplikasi yang bermanfaat dan sangat membantu untuk memenuhi beberapa kebutuhan
Jukoni Jukoni,5,mantap
yudi supriatna,5,tolong di ongkiryah agar di hematkan lagih 😁
Tentii Novita,5,terima kasih lazada
Nova Nova ananda,5,Oke
Blex cobra Blex cobra,5,siap kirim
Wawan Coi,5,good
Kiwong kiwong,5,"harga bersahabat, pengiriman cepat"
Bari Rixyz,5,"mantap,, aplikasi lazada mempermudah saya untuk berbelanja😊"
Angel brt,5,muantap
Xio Yan,5,mantap pokonya
Dhea Dzenirra,5,👍👍👍
Santri Ngawulo,5,sangat baek
Gilang Rizki,5,mantapp pokonya
Asep Saepullah,5,laz tthe best
Rido,5,kita coba dulu
Zaskia Safitri,5,bagus
Arif Syaini hamdi,5,sangat paten
Rafsya Buluk,5,bgus
Salsabila A. P.,3,ongkir segede gunung
Gina Maulidani,1,"jadi males pake aplikasi ini,makin kesini..selain dari seller toko yg kadang bermasalah,banyak juga kurir nya yg nakal. yg nipu pelanggan dengan beralasan paket tertukar. terus salah salah satu ekspedisinya berani bocorin data pelanggan."
Herman Sha,4,lazada oke
San Asher,1,"ga jelas, org baru mau pake apk ini udh kekunci lgi aja akun nya"
Adi Gunawan,1,paket udah d bayar kok sebulan lebih nggak nyampe sampai skrng..mau mjnta dana kembali...susahnya minta ampun...
Asep Rizal,5,good
Kangz Martabak,1,"aplikasinya bagus saya suka cuma untuk kelengkapan produknya kurang, di tambah lagi banyak Toko yang menjual produk"" FIKTIF/PENIPU yang memanfaatkan celah sistem cod di aplikasi ini. setiap saya beli barang dengan sistem non cod mesti selalu gagal atau di kirim kotak kosong."
Yusli Anto,5,bagus👍
Shla Lintang,1,penjual lama banget menyetujui pengembalian dananya gimana si
Daneil Marbun,3,saya kasih bintang tiga dulu iya kalau cantik datang barang yg saya pesan saya tambahin bintangnya 👌🙏
Siti Romlah,5,top markotop deh.....
Wahyudin Udin,5,oke😊
Salemt Bae,5,"sangat membantu apapun yg saya butuhkan ada,sukses sll lazada🙏"
Alyan,5,puas
Aleta Fanesya,2,contoh
Bang remon Remon,5,belum tau hasil nya tapi beri bintang 5
Dedi Supriadi,5,manntulll barang murah berkualitas..
Dian bustommy,5,seru ada belanja 100 rupiah
Ujang sopandi 123,5,semoga amanah
Nani Suryani,5,good job
Simas,1,Bos Q... ▶️14 Agustus '25... (Update) Masih ⭐4 ▶️31 Agustus '25... (update) ⭐1... kecewa dg jasa pengirimanya (telat & ada oknum yg mengkondisikan masalah ini dg cara menyuruh TF lagi)... (lazada mohon pantauannya)
Win Bae,1,punya kurir pada ga tangung jawab saya nunggu pesanan sampai 10 hari ga datang datang . aplikasi ga jelas
saya anitha,5,sangat suka
Nur Azizah,4,bagus
Nuni Tlb,5,sangat puas
Rizalun FAY,1,Aplikasi belanja online paling ga aman gabisa nyaring toko yang palsu dan penipuan banyak banget penipuan
Jejen Wahyudin,5,mantab......
Edi Jemuriadi,5,mantull
Sri,5,produknya banyak pilihan
Andri teknik dan film,1,akun saya eror Mulu yg bernama bang Andri ga bisa cekout tolong normal lagi akun saya
Darma Irama,5,mudah dan g ribet bisa cod cek barang dulu baru bayar
Riki Handari,5,"mudah dan praktis,poko nya lazada mantap"
Utun Angga,1,ongkir gk ngotak
Benahazza Beben,5,sukses Lazada
Ola Sakila,5,"slalu tersedia apapun yg kita mau,keren lah pokoknya mh"
Yanto Sur,4,trim's lazada...semoga kedepannya lebih baik lagi...dalam pelayanannya..sebab apapun yg saya inginkan berbelanja di Lazada sudah tersedia.tinggal klik pesan barang langsung dikemas dan diantar sesuai pesanan.👍👍
faiz abdillah,2,banyak bugg pa s loginn
Ababil Gunastiar,3,bagus
Adimas Kusuma putra,4,top
Tri Atmojo,5,mantap
"M,hafiz Hafizzul",5,harus sesuai ekspetasi
Resti Ani,4,sangt bagus
Nur Adilah,5,mantapppp
Mohamad Hasim,5,good jobs seller🤗🤗🤗
Rahmat Doank,5,keren
Eddy Kecipir,1,di aplikasi lazada banyak sekali para penjual yang menipu.. belinya apa yang di kirim barang apa sangat tidak amanah
Keyla Angreini,2,udah selesai di download aplikasinya tapi nggak bisa masuk
ABDUL ROHMAN G. PARMAN,5,"Aplikasinya sangat bagus, dan mudah di gunakan semenjak ada aplikasi lazada belanja jadi mudah tapi tolong di perbagus lagi yaa terima kasih🙏🙏🙏🙏💪"
Dimas Slamet 2,5,bagus
Adila Fauziyah,5,bagus
Mytha Felove,5,tolong pihak lazada ..itu yg mengatasnamakan kurir ninja banyak penipuan.. kita di telpon telpon..dengan alasan paket sy salah kirim ke alamat lain..padahal mau nipu
emi Sasmitha,5,"mantap lazada cara pengirimannya cepat dan barang yang kita pesan, sesuai dengan harapan"
Rahman Curent,5,pengguna baru
Cs Userku,1,"payah banget sekarang voucher gak bisa di gunakan+susah banget di pakai,udah gitu banyak banget persyaratan,dan ongkir juga mahal banget,bahkan jauh lebih mahal dari harga barang,mending yg dulu ketimbang yg sekarang,yg sekarang tuh PAYAH BANGETT!!!"
Santa Purba,5,sangat membantu
Tiar Span2024,5,aku percaya
Menik Fadilah,5,good job
azhari rahman,5,okok
Adi Kurnia,3,pengiriman nya agak lambat
Ahmad Khumedi,5,bagus sangat membantu
Novi Agus,5,mantab
Joko Waluyo,5,ok mantap sering diskon
JUMIANTO,5,Game online Lazada Indonesia menjanjikan.
Juita Putrii,5,sangat baikk
Tron Dol,1,lazada expedisinya jelekk kyak ninja van. jgn blanja dilazada lg banyak penipu
Wisnu Ch,5,bagus
Michael Siagian,5,Terpercaya
Prayit Nooo,3,bagus recomended
Ditmar Hadi saputra,4,aplikasinya mantap
Liendarto Puki,5,netral
Agung Lanang,1,"aturan pengaduan customer ke cs, customer harus angkat telfon dari pihak cs, aturan apa itu....????????"
Gin Ruswandi,5,oke sekarang bintang 5+ tapi mohon tolong gratis ongkirnya kembalikan lagi saya mau belanja tapi ongkir nya mahal. terimakasih....
ARLAN JUMSAH,5,TOP
Mardi Yanto,5,puas
Mellia Prasiska,1,"percuma kumpulin point tapi gak bisa digunakan, karna harganya sama aja mahal2 juga. ditambah skrg gak ada gratis ongkir sama sekali. gak bisa pilih vouchernya tapi otomatis. gak banget dah mending toko oren masih ada gratis ongkirnya. malah makin mahal lazada padhal peminatnya gak banyak2 amat"
ayank roney,4,sya coba dulu
Dian Widianto,5,slalu terdepan... keren sangatttt
Agung Surya,5,Bagus aplikasiny dari aku Masi zaman SMA suka sering belanja buat peralatan sekolhku smpai sekarang smuanya bagus tp mhon yg jualannya menipu agar diban akun penjualny soalny saya pernah ditipu beli kepala dan kabel data charger di lazada pas dipake malah meledak jdi korslet listrikku itu sangat bahaya harap ditindak lanjut penjual yg menipu karna ad kecurangan
Wulan Nuryani,5,saya suka blnja dilazada
Abrina Oktafia,5,aman dapat dipercaya
Ahmad Dikin,4,oke
Ipey sugesti,5,"hay lazada ,, sekarang koin lazada jadi susah di pakai karana hampir gax ada potongan koin cuman 1% sampai 25% jadi gax ke pakai tuh koin nya ,, apakah ituh di atur lazada ataw di atur penjual ( seller )"
Anggelina makalew,5,baik
Aris Rizal,2,"toko tokonya banyak yg tidak amanah, untuk lebih baiknya tk dicek dulu jangan asal masuk, kasian tk2 yg amanah"
Naruto Hinata,4,ga sesuai iklan katanya gratis ongkir kenyataannya tetap bayar ongkir
Refki Sport,5,mantap
Putri Hawa,1,Lazada kok sekarang 💩 ya. Udah kaya pemerintah aj yg selalu berpihak kepada orang yg berduit. Ngasih voucher & gratis ongkir aj syarat belanjanya bwt orang2 yg berduit doank. Minimal belanja 200rb. Udah kaya Anjg SriMul nih Lazada. Ikut2an mencekik rakyat kecil
Sujiroh Sujiroh,5,mantap
Lusi Puspitasari,5,bagus semua nya
Elis endang,5,good job
Dwi Sani Astuti,4,ok.. tepat worth it😊
Dori Anggara,1,"Ada apa dengan lazada sekarang gambarnya gak pada kebuka padahal jaringan bagus,,,, lebih parah lagih sih ni lazada sistem keamanan nyah kurang baik kayanya soal nyah saya pernah ketipu,, ya pokonya hati hati kalo beli mending bayar di tempat daripada di tf,,, tolong di perbaiki lagih lazada sistem keamanan nyah terimakasih"
Pengguna Google,5,aplikasi lazada bagus ! tingkat kan terus kwalitas barang yang murah dan berkualitas. serta gratis ongkir nya!! sehingga dpt mendukung efisiensi anggaran yang tepat sasaran. mendukung Indonesia maju berjuang tiada akhir! 🇲🇨❤️🙏
Mas Anto,5,ok
Dhimas Fachrudin,1,"Satu poin MINUS LAZADA dibanding Shopee, Proses pengembalian Dana Ribet, dan VERIFIKASI PENARIKAN DANA KE BANK/EWALET SANGAT LAMA...walaupun pengembalian dana dari seller sudah dikembalikan ke Dompet Lazada.."
Ade Rustandi,5,goodss
Samura Studio,5,mntab
Kolani Syahputra,3,cukup
wijaya wijaya,5,alhamdulillah
Hana Putri,1,UNTUK PIHAK LAZADA YANG TERHORMAT. MOHON LEBIH BIJAK LAGI INI SUDAH KE 2 KALI NYA AKUN SAYA TERKUNCI. SAYA HANYA INGIN MENGECEK PESANAN SAYA DI LAZADA LALU MENDADAK SINYAL SAYA HILANG DAN SAYA KELUAR DARI APLIKASI BEBERAPA SAAT SAYA KEMBALI AKUN SAYA TERKUNCI. JADI UNTUK LEBIH SINGKAT NYA SAYA GA SUDI BERBELANJA DISINI LAGI LEBIH BAIK TOKO OREN!
Andryan Nurhidayat,1,apk apaan masa gk bisa klaim vocer
marif,5,mantap
Cecep Supriyadi,5,baik tapi tolong di koreksi yah ke tempat produksi suka ada yang kurang sesuai barng
Tedi samsudin,5,jjoossssssss
Ibenk Ibenk,5,keerrrrreeennn
Purwito Wuryan,5,mohon dibuatkan modus gelap agar nyaman dimata
Agus Rahmat,5,Sangat membantu untuk keperluan kita
Wildan Sr,5,selalau amanah
Jaya Suntika,5,good
Yinn Tequila,5,good
Massugih Soehanda,5,"Produk yng dijual berkualitas, pengirman cepat...harga kompetitif"
