userName,score,content
Abdul Rahman,3,"saya coba dulu klau ok, dan mantap saya tambah lagi bintang nya🙏🏻😊"
Rani 1717,4,Mantap
Dhimas Fachrudin,2,"BINGUNG mau belanja di Blibli, mai beli rokok lewat App diarahkan ke website, lewat website masuk le App...mutar muter doang...😪😪"
andika purnama,5,customer service sangat baik
Mus Tafiq,4,"masih banyak produk yg ga ada, seller"" yg jualan di sebelah gak pada jualan di Blibli juga ya kayanya. nyari"" brg yg di keranjang oren gw kebanyakan g ada di cari di Blibli"
Yap Yap aja,5,mantap atuh
asdar ceddha,5,"mantap, cepat , dan akurat"
Crew Basic,1,"refund lama, harga barang kebanyakan lebih mahal karena kebanyakan seller udh ga update, gratis ongkir cuma cocok untuk satu seller aja tapi kl belanja di beda seller yaudah malah tekor dan voucher-nya kebanyakan gimmick, bukannya penasaran malah jadi males makenya. Untuk CS sih udh ok ya."
gevty sweeper,5,sangat mudah digunakan
Rosa Liana,5,mudah menggunakan pembelian
Rapidah,1,kk mau nanya ini aplikasinya cod gak ya? atau harus bayar dulu lewat hp setelah itu baru dikirim?
Mohamad Yaumil Fajar,1,seller nya lama pengiriman nya juga lama padahal pakai sameday
Bonitua Sihombing,5,👍
Anonim,5,banyak Promo
Tatang Permana,5,topbanget
Denny,5,⭐️⭐️⭐️⭐️⭐️
Zahir Nasrudin,5,"gampang digunakan, banyak promo, barang ori garansi"
Iis Nurjanah,5,mudah banget pembayarannya
Yasin Yasin Mubarok,5,sangat puas dh Belanja di Blibli
Taufik Mudzakir,1,"aplikasi paling jelek,tida bisa memanusiakan manusia,masa barang kosong di cancel dari tokonya pencairannya bentuk voucher udah gitu voucher mau di gunakan harus belanja dlu ada minimum transaksi baru bisa di gunakan dan ada jangka hangusnya, pikir-pikir dlu kalo mau belanja disini, daripada jadi korban aplikasi,"
ismanudin Pasker,2,kenapa hanya login aja eror
Terong Panjang,1,pencarian di poto ngaco terus bikin pusing
Ananta Wicaksana,5,"oke sih, cm kadang pengecekan pembayaran sedikit butuh waktu"
HERMAN Eman,5,mantap dan lanjutkan
Dian Hermawan,2,"1 kelemahan Blibli, gratis ongkir 100% sampai ke Rp.0 cuma berlaku jika kita belanja di 1 seller. Saat belanja di beberapa seller selalu ada sisa ongkir yang harus dibayar (ini sih diskon bukan gratis). Padahal di e-commerce lain bisa loh sampai ke Rp.0 walau belanjanya di beberapa seller. Apa mungkin karena voucher yang bisa dipakai cuma 1? Entahlah. Mohon perbaikannya di bagian ini. *GA PERLU minta saya hubungi CS via channel lain, keluhan saya diatas sudah sangat jelas."
hendra arfi,5,recommended
Taoseh Ga'i,1,"Tidak ada jumlah stok barang di etalase. Jika penjual membatalkan pesanan, Pengembalian Dananya ke akun kita terlalu lama. Not Recomended buat Bisnis."
Fudin S,5,pengembalian dana saya blm masuk sampe saat ini aneh ini aplikasi. seharusnya dikembalikan bukan di tukar pocer pengalmn pertma blnja sangat jelek aplikasi ini tapi.
Fadly Nur,1,download cuma mau kasih bintang 1. pembeli dapat barang reject pabrik ga ada solusi malah di aniaya.
Hery Widodo,5,luar biasa
Kristian Widanti,5,great 👍👍👏👏 Thankyou so much 🙏🙏
Nur Hadi,1,kenapa kok lelet app blibli? tolong benahi appx masa jaringan wifi 20 mbps masih lelet...??? un instal saja...
sisabur holong,1,aniaya customer 💔
APRIALDY HANDOKO,5,pasti ori dan dijamin ori hehe
Achmad Irwanto,5,"ini baru nama nya belanja online No.1 BLi BLi semoga BLi BLi semakin terdepan., kalau bisa di banyakin terus promo promo nya., terutama makanan minuman dan tempat rekreasi keluarga yang saya suka."
Ib Bar al,5,bagus
Ainul Gusti Agung Febrianto,5,aplikasi yang bagus
Sardjani 1970,5,"E-com terrr trusted pokoknya, keren jga performanya"
Ayu Dita,5,mantappp
Yudi ESG,5,keren
toto sahlan,5,Top
Dani Ramdani,3,kenapa tidak bisa top up blipay
Syafrizal Iyep,5,ok mantap pak bos
LAMBE ATOZ,5,"bagus sih sayangnya belum banyak distributor yang join, jadi harganya kalah sama toko oren"
Moel Haykal,5,mantap
Abd Nash,5,barang original
Sani Imamah,1,"email dari blibli dapat voucher, jadinya daya download, eh aplikasinya malah gak bisa dipakai. pas dibuka muncul notif aktivitas tidak biasa 🙃🙃"
Yoga Romadhon,1,apk sangat lelet .untk pengiriman dan tarik tunai👎
I'martslight,5,bagus
FaridiaElva Azkia05,5,Blibli behind sale belanja produk flash drive thru harga paket promo makanan minuman spesial tekajut lihat temenan sama renjun yuk bisa yuk nggak kamu mau tahu kita malah keliatan makin kesini
oktafi hendro,5,good
kreatif dan UNIK,5,luar biasa
Fchryn07,5,di blibli benar benar no blabla..
adamray nugraha,1,"paling ribet buat belanja ya Blibli ini ,reffund saldo dan upgrade bliblipaynya pun ribet ....skip mending ijo atau Oren"
YUDHA PRATAMA,5,sangat membantu
Maulana Mursal,5,daebak!!
Hanif Mubarok,5,terbaik
Zippo Batrav,5,mantap.asal bukan barang abal abal yg datang.. pesan ini lain yg datang
Jj Tamaro,5,sangat membantu untuk pesanan tertentu. walaupun ongkirnya mahal.
Mbah Naup,1,"suara notifnya cempreng, kurang kreatif. masi mending punya tokped sama shopee. selera yg pilih sound notif blibli jelek, bikin pengguna risih. jangan pakai alibi ""kalo gk mau berisik matiin notif"". emang karyawan blibli gk kreatif aja. ganti aja sound notifnya, bikin gedeg"
Luxion 112,5,keren simpel
Zamix Ongge,1,dana voucher refund tiba tiba hilang sendiri
ahmed albarudien,1,"ribettt, semoet ada uang returan 200 ribu-+ pas mau bayar scan malah harus ini itu ini itu dulu ribett, sangat tidak di rekomendasi kan untuk yang mau sesimple main shopee"
mr.robby aristo,5,mantab
BaBah RaMa,5,mantab dan cepat
Nando,1,"wah gila ulasannya pas di awal bintang 5 tapi pas di cek rata"" bintang1 semu ini ulasan terbaru padahal"
Yusman Irawan,5,suka banget belanja di blibli
Leni Titian,5,fastest!!!! excellent!
Mas Jo,3,transaksi pulsa sering gagal krn batas maksimum pdhl belum ada transaksi di hari yg sama
Diana Lestari,5,meskipun tidak semurah di app lain tapi appkasinyah gak ribet dan bisa kirim kemana ajh
Ronny,5,mantap
Abdul Rohman,5,lancar jayaa
mang kukun alam,5,sempurna
D P,1,"Dapat blibli point tapi gak bisa dipake buat top up e money, ga ada opsi gunakan point. Apa sih gunanya kalo gitu?"
Akechi Ginojou,5,oke
Rudy Gozaly,5,Blibli is the best
Maghfur jazuli,4,bingung make nya
Cihuwa huwa Uwa,5,mantap
Iqbal Darmono,5,blibli sangat membantu
Evan Sebastian,5,Marketplace yang bagus barang yang dijual sesuai deskripsi semua dan setahu saya Blibli jgn seleksi ketat untuk seller yg jualan di Blibli jd pembeli aman dpt barangnya sesuai dgn judul dan deskripsinya... mantapppp
Joni Setyo,1,"Dana refound masuknya lama.. sudah satu minggu belum masuk rekening, pakai Payleter malah dana refound jadi voucher belanja itupun masuknya satu minggu.. trus gemana kalo mau belanja lagi.. sedang voucer refound di kasih waktu 1 minggu hangus.. lah kocak, uang kita sendiri bisa hangus ya kocak.. jaminan ori cuma berlaku buat toko yang di kelola blibli ya. pengiriman tergantung jenis expedisi.. tapi retur barang syaratnya ribet dan bikin muak.. terlalu bertele tele.. terlalu menyusahkan konsumen"
Nirtiana Nirtiana,1,"sdh sering komplen masalah keterlambatan pengiriman k cs nya,gk ada solusi d suruh nunggu terussssss,pdhl obat nya keburu d minum,d batalkan pesanan juga gk bisa...hedehhhhh parahhhhh...minimal kl tdk bisa batalkan pesanan jgn mempersulit customer"
Akifah Amalia,1,iklan gak jelas
Hendra Geger Dewantoro,5,keren bisa buat bayar PBB kota palu
Danys,5,terbaik dan sangat nyaman digunakan
MUHAMMAD FACHRI R. LASAPPA,1,"gk ada tanggung jawab keamanan terhadap CS, gk usah pake ini apk.."
Alfin Susila Budi Nugraha,5,user friendly
arwan agustin,5,mudah dipahami dan digunakan
sobari,5,ok
Penghibur Hati seseorang,5,"untuk pihak Blibli,saya pertama kali download aplikasi ini, katanya pelanggan baru dapat cashback 99% kenapa saya tidak dapat padahal di notifikasi hp saya ada tapi kenapa tidak dapat cashback 99% nya? jangan tipu²"
Putri Nur,1,mau buka rekening susah banget
ikhsan tarmizi,5,gampang menggunakan Paylater
Akhtaar Al Hidayat,5,keren banget
Intan PW,5,mudah digunakan dan simpel
DICKI WAHYUDI,5,"Alhamdulillah skrang Blibli makin ksini makin membaik, banyak voucher juga, dan pengiriman juga satset, gak pake lama dan gak pake ribet, sukses terus Blibli kasih yg terbaik buat customernya..🙏"
Browns Loram,5,keren
luthfia anatasyaa,5,"download karena tugas sekolah, sekolah ku kerja sama dengan blibli:)"
Gilang Harsya Fadillah,1,"gua mau daftar blibi paylater by indodana gak bisa terus karena kamera blur,sampah"
Sebuah Nama,1,Bisa²nya iklan smpe ke hp ku bb memang iklan anjg
Aa Pia,1,"expedisi nya bes expres kaya ga siap, kurir sudah minta sharelok pas di kasih ga ada kabar malah paket ga di kirim. paket ku 2 Minggu ga sampe dan chat cs pun ga ada kejelasan sampe sekarang,"
Bryand Ihsan,5,aplikasi nya smooth dan tolong merchant nya banyakin soalnya ini satu satunya aplikasi e-commerce yang aku pake gatau knp e-commerce yang lain tu ga smoth di hp aku
Azi Kamal,5,mudah & keren
Surya Wijaya,5,manttaapp
Ded Jj,5,"enak bgt belanja diblibli, packing nya rapi ga pernah kecewa"
Rianti Hijabb,5,puas bangettt
naara wasti,5,kerena bingitzzz.
Yadi Bwx,1,kebanyakan iklan
Lela Sari,4,"aplikasi nya kurang ini masa paylater saya d tangguhkan gara2 saya ketiduran lupa bayar ,besoknya saya langsung byr dan selanjutnya sampe beres bayar tepat waktu .jadi kecewa sih"
Daamxyz.,5,mantap ini aplikasi
Kedai Nyonya,5,mantab
asep sutarya,1,"mau log in D aplikasi ini susah padah sinyal bagus,"
MUHAMMAD MAULANA,5,ok
dj hendra winata,5,simpel. user friendly.
Aris Love Meli,1,"buruk , pelayanan buruk retur duitnya ga balik lagi ga tau kemana"
Supardi Pardi,5,baik
Hasbi arrozzaQ,5,mantep
Sri Sertiarti,5,Sdh bagus... pertahankan dan tingkatkan terus.. !
Ryan Dch,2,ituu kalo ada masalah responyaa lama sekali si min
Jiw Panji,5,"memudahkan sekali semuanya,belanja dll"
Firdaus AI,5,mntap betul
Neny Triana,1,"admin lambat responnya,sama sekali tidak membantu masalah costumer,cuma kebanyakan puisi aja adminnya"
Torang Pardede,5,mantap
Awiazka Abil,1,"Oeder barang dicancel. Sama seller juga uda dicancel langsung. Tapi sama blibli dana refund ditahan2 sampe 3 hari ga balik2 juga. Parahhh su barang ga dapet, duit ga balik. Ga tau nunggu berapa lama lagi. Duit puluhan ribu doank aja susah banget minta balikin. Ga lagi2 dah."
Andriyanto,5,awesome
Renaldus Inkam,5,"Bli Bli tambah keren, mulai menyukai lagi"
Ilham M Rizky,5,aplikasi yang harus selalu ada tiap saya ganti hp. terimakasih blibli.
karim onad,5,bagus
Widnu Laksana,4,Banyak promo digitalnya
arsyila salsabila,1,GAK ADA PROMO SAMA SEKALI DAN ONGKIRNYA MAHALLLLLL BANGETTTTTTTT
rina noviani,5,produk yg dijual berkualitas Dan pengirimannya cepat
Yunus Wanda,5,mantap betul
AWD,1,sekarang pengiriman lamban!!! payah!!! mau cancel ga bisa!!! payah!!!
Susi Rusmiawati,5,"lebih keren, mudah di pahami"
rah man,5,okey
Bulek Link,1,kelengkapan barang yg dijual di apk ini tdk selengkap di shopee&tokped. dan penggunaan poin cashback tdk bisa sepenuhnya digunakan seperti shopee.
Billy Ronald,5,cpt..tdk ribet..
ARIE FIRMANSYAH,5,mantaaaap
Yulius Paga,5,mantul aplikasinya
chef opicxz Hidayat,5,mantaps terpercaya
indra gunawan,5,mantap
Yono Bisa,5,mantapppo
Yoga Saputra,1,"spin the wheel nya bagus ya keren change yang poin 50 = 60% , poin 75 = 35% , poin 100 = 15% dan poin 200 = 5% sisa hadiah utama seperti emas 2 gram = 0% dan hadiah yang lainnya"
Octavin Adi Nugroho,5,Dikala semakin hancurnya si Ijo dan boycot oren. Blibli menjadi marketplace terbaik yang pernah saya gunakan
Security Posko,5,Goodjob 👍
kerja di jepang,5,"puas pisan belanja di sini mah pokona rekomendasi buat yang mau belanja online mending di sini aja, aplikasi belajar online terpercaya no ribet no tipu tipu.. terimakasih"
Ummat Muhammad,1,ngelag. dibuka ga respon. males bgt
Juliana Josephine,5,satset.. sukses selalu
Aldi Marwan,1,Barang rusak di jual. giliran di retur sangat sulit prosesnya. dan memakan waktu lama.
Napsiah Aja,5,aman
Dimas Octapriyanto,5,cepat dan mudah
Wiwid,1,"barang hilang status pesanan terkirim, hubungi cs susah minta ampun, kacau sistemnya blibli"
Dede jalal,1,"pihak aplikasi kurang ketat, banyak penjual culas dan gak bisa batalin pembelian."
febrian ka,1,PENGIRIMAN LAMA CS LELET TIDAK ADA SOLUSI
Anisa Chaeyoung,1,"pengembalian dananya susah, pesanan udah diretur udh dikirim balik barannya tp ditolak tp jd zonk barang ga dapet duit pun ilang"
Nonov Masha,5,Terbaikkkkk
I Komang Arisaguna 18,1,suara notifikasi nya ganggu bgt
Evy Syaripah,3,ga bisa didownload di hp oppo A71
Mugi Pitulung,5,mantap
Gana Mulya,5,mantap
irwan satiri,5,Banyak voucher diskon dan seller variatif
Syamil Islam,3,"tolong dong kurir nya di tegasin lagi, jgn males buat menghubungi cust.. masa alamat saya sudah lengkap, masih di bilang alamat ga lengkap, kadang org nya tidak di rumah (pdhal ada). no. wa pun aktip terus tapi ga ada menghubungi, sampe akhirnya paketnya gagal dikirim.. sudah brp kli terjadi.. sangat meresahkan. !! tolong ya Blibi di kasih sanksi saja kurir yg malesan gitu !!"
Marini Kitajima,1,"Ecom terlemot asliii. Seller uda cancel di sistem bliblinya ga dicancel2. Proses refund juga lama..Masa orderan yg sama direfundnya dicicil ga barengan. Di ecom laen klo seller uda cancel dana otomatis balik ke akun. Lah ini blibli aneh banget nahan2 duit orang. Mikir2 lg lah mau order disini lagi klo kaya gini mah. Klo duit mepet belanja disini uda susah ini mah. Barang ga dapet, duit lama balik. Reund tuh harusnya cepet, karena uangnya mau buat beli lg barangngya. Jangan nahanw yg bukan haknya"
Rizky Restiana Rahayu,5,"aplikasi terbaik, saya sangat suka berbelanja disini terutama beli barang elektronik 👍👍👍👍👍. minn mau kasih info aku dapat hadiah undian voucher jam garmin 5jt😄. Terimakasih banyakkkkk 🙏🙏🙏"
Mama Giv,1,belanja soklin 5 dus aturan pake. gocar grabcar bisa sekarang ga bisa kena ongkirnya 160.000padahal deket dikrim pake delivreee
Donny Iskandar,1,"selama beli oli di Blibli dari dulu ngga pernah bermasalah sudah ada 3kali beli oli dikirim oli yg deskripsi berikut kartu ganti oli, yg 2kali ngga tanya cust. service tapi yg ke3 kali tanya dulu dan pihak Blibli menyatakan dapet kartu ganti oli, dan kirim tapi tidak ada kartu ganti oli, perusahaan besar kartu ganti oli doang bohong, kartu ganti oli ngga ada berarti oli palsu"
EpvieS,1,"Pengiriman sekarang lama, kurirnya malas maunya kirim ke alamat rumah yang akses jalan lebar, gak mau daerah kampung. Beli dalam skala besar pakai kargo lama minta ampun"
Febri Setiawan,1,apk nyusahin... sering bngt transaksi gagal.. topup dll. sangat tidam recomended
Doniy Setiawan,1,"perlu belajar tanggung jawab etika dan moral, customer prioritas nomber one."
Yuda Yunzdra,1,"apk apa ini woy, pesanan 2 hari proses tiba""di cancel kalo niat bikin event yang serius Napa..."
Nurumayu Ashigara,4,"Poin Blibli itu gak berguna sama sekali . Baru juga poin terkumpul, sebulan kemudian kadaluarsa. Mending hapus aja itu poin. Aplikasinya pun lelet banget."
Elin Herlina,5,mantulll
M.Nur Maulana (Aul),1,tidak ada tanggung jawab
achmad suryan,5,mudah dan harganya itu lho
AC Mild,3,"Tampilan terlalu ramai, sulit menentukan prioritas informasi yg mau di-Digest."
Maximiliaan P. Kapoh,5,semoga sukses selalu 👍
Ida R,1,gagal akses mulu knp sih
riyusisme,5,"Baru coba lagi setelah sekian lama, ingin mencoba lagi karena sedang banyak promo.. 👍👍"
Ahmad Assidiq,5,sangat membantu
Ika Naya,5,mantap poll
Nursiah Nur,3,"belum punya pengalaman menarik dalam hal berjualan online ,mohon bimbingannya"
Adelia Faranisaazni,5,ok
KAMPUNG TAHU,5,mantap
Lailil Mukarromah,5,mantul
Anaaa,1,baru pertama nyobain belanja lewat Blibli tp bukannya dapet kesan pertama yg bagus tp malah kecewa. Proses pengiriman terlalu lama melebihi estimasi yang ditentukan . kecewa sih apalagi barangnya lumayan ditunggu-tunggu
Deden Setiawan,5,"semoga selalu menampilkan produk2 original, sehingga konsumen tidak terjebak kebeli produk2 non original"
Nafar Syaputra,5,baik sekaliii
Wiedy Astuti,5,Blibli mantap sering dpt harga murah dr aplikasi lain
Jasmine Sabrina,5,"suka bgt sama promo pelanggan barunya,, dibelanjain 100% Terimakasih blibli"
Kosmara,5,pertama kali belanja online di blibi keren guys ada banyak promonya untuk yang belum tau sgrra mendaftar terimakasih.
Khalisa salsa,5,suka aplikasi cepat
Khalisa Dela,5,baik
Ahmad Busairi,5,mantap blibli
Sere Silalahi,4,ok baik
Yayuk Kusbandiah,5,Belanja tanpa blabla ya di Blibli.
