label,content
negatif,kalo bikin iklan itu yang bener bangst
negatif,Hati hati sekarang belanja di lazada tidak aman lagi karena pilihan ekspedisi hanya ninja yang reputasinya kurang bagus. Data resi saya bocor digunakan untuk penipuan scan barcode dengan alasan barang tertukar. Selamat tinggal untuk lazada
positif,terima kasih lazada
positif,semoga dpat membntu
negatif,kabupaten tangerang kecamatan sukadiri pengiriman paket selalu telat dan selalu gagal kirim tolong kepada pihak kurir segera di atasi masalah ini agar nyaman dlam belanja online
negatif,mohon di percepat pesanan kami
negatif,banyak toko penipu. mending di shopee. pasti pasti aja toko nya. klo disini banyak penipu nya.
positif,lazada keren
negatif,barang belum datang ke tempat malah di batalkan dan di kembalikan ke penjual udah gitu tombol batalnya juga di batalin sendiri dan diganti harus bayar dulu lewat pembayaran non tunai dan di batalkan tidak bisa dilanjutkan juga ga datang datang padahal bbayarnya bisa ke kurir kalau barang udah datang
negatif,"anjir kena penipuan bisa""nya lazada lolosin"
positif,mantap.
negatif,"respon pengajuan masalah sangat lambat, pada no baru tetapi akun langsung terkunci"
negatif,Aplikasi membagongkan untuk daftar aja susah bgt .baru daftar akun ke kunci padahal hp baru no baru akun baru.nyesel download aplikasi ini.
netral,👍
negatif,"lazada mahal Ongkir ga prnh turun, barang mahal mahal, banyak seler tipuan,ga amanah👎"
netral,Jagan bikin saya kecewa KK
negatif,"tolong di tertibkan utk pengiriman ninja van express yg selalu salah input dan mengganggu dan menghambat dalam pengiriman,berikan pilihan buat konsumen dlm memilih pengiriman.."
netral,"belanja mudah,,proses cepat dan kalau ada keluhan langsung di tanggapi,,,cuma satu saya minta toko yg tidak amanah jangan ada di lazada,,karna konsumen bayak yg mengeluh"
netral,mohon segera tutup toko yang bernama td21store sudah banyak korban yang ditimbulkan dari toko tersebut karena selalu mengirim barang yang tidak sesuai dengan apa yang dipesan
positif,Oke oke
negatif,aplikasinya aneh aku mau daftar akun aku selalu suruh telepon orang dan ditulisan nya akun anda terkunci sampai 9 akun sama ajah 😩😟
negatif,sekarang LAZADA udah tidak seperti dulu.....sekarang udah banyak toko penipu...dan heran nya selalu di diemin aja....kecewa dengan LAZADA yg sekarang isi nya toko bodong.
positif,terbaik
positif,"gampang fitur menu nya,bnyk promo,yg pasti selalu update yang terbaru di setiap pelayanannya kepada konsumennya"
negatif,"satu toko tapi berat di ongkir, ongkir 2rb pas di cek out ongkir 39rb padahal satu toko"
positif,bgus skli
positif,mangga dkirim cepat
negatif,beli pulsa ga masuk masuk aplikasi tolol
positif,oke
negatif,"lazada dulunya adalah pemimpin dari semua marketplace,tp sekarang jauh tertinggal dari pesaingnya diasean.karna mutu menejementnya kurang baik.saya bertahun2 belanja tidak sedikit jumlahnya dan paylater juga tidak pernah bermasalah.tapi knapa pengajuan lazbon tidak bisa ? hanya ditambah dan ditambah limitnya tidak pernah bisa dipakai artinya hanya PHP alias pamer doang.bagaimana bisa bersaing boss...???"
positif,mantap
netral,smoga sllu amanah
negatif,"halo lazada .. ini gimana ceritanya ? paket saya gak sampe sampe..padahal pake prioritas loh...pesan dari tgl 27 Agustus,terus dipastikan sampai 29 Agustus sampai...setelah 29 ada notip di undur tgl 1 . skrg sudah tgl 1 . sampai skrg pun barang gak sampai...udah di chat lazada nya..katanya barang sudah ditangan kurir sejak tgl 30...tapi sampai hari jni barang gak sampai sampai"
netral,jujur itu mahal dgn jujur maka akan di mudahkan segalanya
negatif,no rekomendasi...pesen tgl 29 agustus...masa estimasi sampai tgl 6 sd 9 september 🤣...uninstal lbh baik
negatif,"niat ga si ini aplikasi,mau daftar aja susah bngt"
positif,gece
netral,lumayan halus lembut kain yah
positif,good
negatif,gila ongkir lazada mahal kali 79 rb pas mau checkout jadi 300 rb hadee
negatif,"tidak bisa login, ribet amat"
negatif,kecewa sama lazada baru juga make katanya dapat promo seribu tapi produknya banyak yg ga bisa giliran udah bisa udah dipesen eh malah cancel sendiri padahal g dibatalin tiba2 ada notif pesananmu telah dibatalkan
negatif,"Kenapa gabisa klaim voucher pengguna baru ya? padahal baru install dan baru bikin akun, niatnya mau coba aplikasi ini, tapi udah dikasih ketidaknyamanan"
positif,pengiriman Dan pengemasan barang cepat Dan rapi👍🏻👍🏻👍🏻
negatif,"knp sya tdk bisa transaksi di lazada paylater, padahal limitnya 1,6 jt"
positif,"mantap lazada,tapi kalau bisa ongkirnya kurangin"
positif,"sangat suka berbelanja di lazada,namun seler rekanannya sering nipu, makanya saya sangat penasaran...."
positif,ok
positif,saya sangat suka
positif,mantappppp
netral,banyakin lagi produk yg murah tapi berkualitas
positif,cepat
negatif,"Saya sudah simpan banyak barang di keranjang,tapi kawan saya yg sudah pesan duluan kok barangnya tidak sesuai yg di gambar,padahal sudah bayar mahal mau lanjut check out tapi masih ragu🥺"
positif,mantap
positif,lebih mudah belanja apa saja hanya d lazada
positif,mudah dan lengkap
positif,poko nya engga perah kecewa blanja di lazada dan mau blnja apapun semu ada dan harga nya terjangkau mudah dan terpercaya
positif,oke
netral,👍👍
negatif,apk sial gua udah hampir 5 tahun pake lazada tapi baru ini duit gua di sedot 503000 RB tanpa alesan apapun babi
netral,Terima kasih lazada sudah membantu menyelesaikan masalah kaca mata saya dengan pengembalian dana...tinggal menunggu ditransfr ke rekening saja..nanti saya perbaharui lagi ulasannya..
positif,bagus
negatif,"kenapa penarikn saldo dibatas aneh sprti ngasih limit pinjaman d bts, pngembalian dana tdk tentu , penarikn d bts ngaco lazada bkin konsumen sgt kcewa !"
negatif,kagak jelas nih apk
positif,sangat memuaskan
positif,Aman cepat dan terpercaya
positif,proses apa aj cepat
positif,lazada mantap
negatif,totong diperbaiki sekaran pengiriman nya sering lambat
positif,sungguh luar biasa tepat waktu
negatif,"sebenarnya 1 bintang pun tak layak, karena masih banyak penjual yang tidak memperhatikan standar barang yang di jual dan banyak penipu berkeliaran berkedok diskon,sekian ulasan dari saya mohon untuk di tindak lanjut in atau aplikasi ini akan terancam di tutup karena oknum oknum tersebut"
positif,"aplikasi yang memudahkan berbelanja, jika ada keluhan cepat merespon dan jika ada kendala cepat di atasi, terima kasih lazada 👍, sukses selalu lazada 🙏"
positif,berbelanja di lazada dengan mudah dan cepat di kirim kurir nya juga ramah banyak diskon dan promo.
negatif,pesanan selalu gagal!!
negatif,harga barang 10rb ongkir 20rb..
positif,Jadi ga ribet kalau blanja
negatif,Untuk saat ini toko oren yang terbaik..
positif,sangat membantu bagi orang yg sibuk kerja
positif,ok
negatif,Sudah tidak mau pakai lazada lagi 3x sy belanja barang dan barang yg datang sangat tidak sesuai dgn postingan.. apakah lazada tdk punya kebijakan atau apalah itu untuk mencegah para penipu yg berjualan di aplikasi ini? sangat2 kecewa
negatif,apk g jelas anjinggg mau login malah pelanggaran pelanggaran pernah login aja kaga pukii
negatif,tidak teliti.tidak sesuai pesanan.tiap beli d lazada gak sesuai.kurang teliti toko.gak amanah .liat dulu pesanan nya.jngan asal aj .klo habis stok.batalin.jng d ganti barang lain. mau jualan apa mau nipu.udah mls sya belanja d lazada. tiap beli gk sesuai. bilang ny sesuai .yg datang gk sesuai..sya unilstal aj apk nya.gak amanah toko nya.mls
positif,bagus
positif,mudah dan amanah
netral,siang cuaca yang kurang mendukung
positif,sangat bagus
positif,mnatap
positif,rekomendasi belanja online
negatif,"pembayaran paylater makin susah aja,harusnya bisa qris,,ini malah dana juga ngga bisa..payah"
positif,mantap
negatif,ongkirnyalebih mahall
negatif,Lazada aplikasi belanja penipu saat saya belanja bayar dulu. uang saya tidak kembali. senilai 600.000
negatif,"lazada adalah aplikasi belanja online paling cacat yg pernah saya tmukan , saya pernah pesan amplifier bluetooth,yang dikirim botol minuman Cleo😂 kalo dishope teman pernah alamin hal yang sama ,pihak shope langsung blokir permanen sipenjual dan uang kmbli ,beda cerita dilazada ,tidak ada tindakan apa² untuk penjual yg tidak amanah, bintang 0 untuk aplikasi lazada ,diulasan saya kasih bintang 5 agar naik dan bisa dibaca penguna baru ,sblm menyesal kedepan karena salah memilih aplikasi belanja 🙏"
negatif,"pengiriman nya lama,, sekarang kadang malah di batalin oleh sistem"
positif,"Aplikasinya mudah dan harga murah, sejauh ini belanja disini hampir selalu puas, ya walau ada sedikit seller yang kurang memuaskan. Tapi masih aman laa banyakan yang memuaskan, pembayaran juga beragam, tingkatkan terus performanya ya"
negatif,"panen event dapet vc 15k tapi gabisa di pake, udah chat cs engga membatu sama sekali. buat apa ngasih hadiah kalo ga bisa di pake"
negatif,saya heran lazada skarang harga smakin tinggi selisih 10% dari sebelah dan sekarang ongkir ny mahal.... jd gx pernah blanja skarang di lazada....
positif,mantap
negatif,bisa gak sih iklan nya gausah langsung bikin saya masuk ke lazada? saya lagi nonton drama jadi susah nyebelin tau
positif,lazada yang paling ku andalkan the best markotop semoga tidak mengecewakan pelanggan 👍👍👍
positif,sangat bagus produknya
positif,"aplikasinya ringan, pengiriman Lex id lumayan cepat, gratis ongkir belum sampai 100% jika luar kota dan provinsi"
negatif,"buat akun kayak ngelamar kerja, buruk!!"
netral,Ada apa dengan lazada
positif,baik sekali
positif,mantap
negatif,banyak barang tidak sesuai
positif,mantap
positif,ok
netral,say mau secara geratis pocerr ini di aktipkn superti Biya Sanja say sudah bergabung di Garuda Indonesia ya kawan ku bohong di aktipkn tiyap hari ya trmkasih ya
positif,Oke
negatif,"lazada tak punya pengiriman sendiri, harga barang cepat ber ubah ubah, kadang harga tinggi kadang rendah."
netral,kasih yg sempurna buat yg istimwa
positif,lazada muantap coy sangat berguna buat masyarakat buanyakkkkkkk
negatif,"fitur nya sudah bagus ada potongan dengan lazkoin, tapi tolong dong buat pihak lazada kasih kami gratis ongkir, min dibawah 50 RB, skrang ini gratis ongkir nya mahal sekali min 115rb itupun hanya di potong 10rb, lama lama bisa pindah ke e-commerce sebelah, padahal sedang senang senang nya belanja di lazada"
positif,Setiap kali pesan barangnya selalu sesuai harapan
positif,oke
positif,bagus.
positif,Lazada banyak promonya.. 👍
positif,mantap
negatif,"ongkirnya selalu mahal ,pdhal belanja lebih dari 40rb,pdahal selalu laganganan belanja di apk ini. masih kena ongkir. terus pesanan juga pada lama² gak sesuai waktu,"
positif,senang belanja lazada
positif,"mantap ada, gratis ongkirnya"
positif,keren
negatif,book=buku keep=menyimpan bokep=jepang
netral,godd
positif,lazada fresh & smooth
netral,tiga dlu KLO bagus tambah lagi
negatif,"Dengan dukungan AI layanan Lazada malah semakin menjengkelkan, respon aplikasi dan seller jadi semakin lambat dan lama. Contoh : 1. Saya tanya pesanan beberapa barang, shop asistant menjawab pesanan saya akan tiba pada tgl. 30 Agustus 2025 padahal hari sudah tanggal 31 Aguatus 2025. 2. Setelah tanya pesanan lewat chatt muncul notifikasi, pesanan anda akan dibatalkan pada tgl. 15 bulan berikutnya. Masa konsumen harus menunggu sampai 2 minggu lebih / setengah bulan ? Inikah dukungan AI ???"
positif,amanah dan pengiriman cepat
positif,"cepat,murah,terjamin"
positif,warbiasa lazada
negatif,Akun lama sekarang jarang banget di kasih gratis ongkir selama berminggu-minggu... beda sama akun baru sering dapat gratis ongkir...
positif,mantap parianya
negatif,bagus sih tapi sayangnya ongkirnya terlalu mahal hingga puluhan ribu dan juga tidak ada pemilihan pengantaran itu saja mohon di perbaiki lagi ya apknya
positif,ok
netral,lumayan lah
negatif,lazada kenapa 2 hari ini enggak ada sinyal terus padahal sinyalku full ada internetnya aku buka aplikasi lazada sekarang enggak ada sinyal terus apa bisa di perbaiki aplikasinya supaya bisa terhubung dengan internet buka aplikasi lain bisa
positif,aplikasi yg sangat membantu. mau belanja tinggal klik pesen. apapun kebutuhannya tinggl klik.. simple banget semua kebutuhan ada👍👍👍👍lazada it's ok
positif,zos lazada
negatif,payah GK ada paylater
positif,"mantap banyak diskonya, terima kasih lazada"
positif,good seller
positif,barangnya bagus
positif,good
negatif,"next update coba diganti warna backgroundnya jgn cuma putih polos monoton banget bikin cepet bosen, coba diubah ui nya buat lebih berwarna"
positif,Mantap lah pokoknya lazada is the best
positif,bagus kurirnya dsn tepat waktunya tapi kadang pesanan tidak sesuai yg digambar
negatif,tolong untuk pihak lazada penjual yang harga dagangannya ga masuk akal di down akunnya seperti j&k project biar ke depanya lebih baik lagi
negatif,"aplikasi payah, kebanyakan iklan gak jelas. ongkinrnya semakin mahal...."
positif,mantap... belanja jadi ga perlu panas panasan
negatif,Tambahin promo ongkirnya dong kayak tahun 23-24... Tahun sekerang lazada melempem kalah sama tts sama sioren..
positif,mantap yang penting jangan ada yng nipu2 bos
positif,sangat baik
negatif,lazada sekarang ongkir nya mahal🤔🤔🤔
positif,pokoknya yang ada di sini dan saya sudah sering pesan tidak kecewa
positif,Baik
positif,Aplikasi yang bermanfaat dan sangat membantu untuk memenuhi beberapa kebutuhan
positif,mantap
netral,tolong di ongkiryah agar di hematkan lagih 😁
positif,terima kasih lazada
positif,Oke
netral,siap kirim
positif,good
positif,"harga bersahabat, pengiriman cepat"
positif,"mantap,, aplikasi lazada mempermudah saya untuk berbelanja😊"
positif,muantap
positif,mantap pokonya
netral,👍👍👍
positif,sangat baek
positif,mantapp pokonya
positif,laz tthe best
netral,kita coba dulu
positif,bagus
positif,sangat paten
positif,bgus
negatif,ongkir segede gunung
negatif,"jadi males pake aplikasi ini,makin kesini..selain dari seller toko yg kadang bermasalah,banyak juga kurir nya yg nakal. yg nipu pelanggan dengan beralasan paket tertukar. terus salah salah satu ekspedisinya berani bocorin data pelanggan."
positif,lazada oke
negatif,"ga jelas, org baru mau pake apk ini udh kekunci lgi aja akun nya"
negatif,paket udah d bayar kok sebulan lebih nggak nyampe sampai skrng..mau mjnta dana kembali...susahnya minta ampun...
positif,good
negatif,"aplikasinya bagus saya suka cuma untuk kelengkapan produknya kurang, di tambah lagi banyak Toko yang menjual produk"" FIKTIF/PENIPU yang memanfaatkan celah sistem cod di aplikasi ini. setiap saya beli barang dengan sistem non cod mesti selalu gagal atau di kirim kotak kosong."
positif,bagus👍
negatif,penjual lama banget menyetujui pengembalian dananya gimana si
netral,saya kasih bintang tiga dulu iya kalau cantik datang barang yg saya pesan saya tambahin bintangnya 👌🙏
positif,top markotop deh.....
positif,oke😊
positif,"sangat membantu apapun yg saya butuhkan ada,sukses sll lazada🙏"
positif,puas
netral,contoh
netral,belum tau hasil nya tapi beri bintang 5
positif,manntulll barang murah berkualitas..
positif,seru ada belanja 100 rupiah
netral,semoga amanah
positif,good job
negatif,Bos Q... ▶️14 Agustus '25... (Update) Masih ⭐4 ▶️31 Agustus '25... (update) ⭐1... kecewa dg jasa pengirimanya (telat & ada oknum yg mengkondisikan masalah ini dg cara menyuruh TF lagi)... (lazada mohon pantauannya)
negatif,punya kurir pada ga tangung jawab saya nunggu pesanan sampai 10 hari ga datang datang . aplikasi ga jelas
positif,sangat suka
positif,bagus
positif,sangat puas
negatif,Aplikasi belanja online paling ga aman gabisa nyaring toko yang palsu dan penipuan banyak banget penipuan
positif,mantab......
positif,mantull
positif,produknya banyak pilihan
negatif,akun saya eror Mulu yg bernama bang Andri ga bisa cekout tolong normal lagi akun saya
positif,mudah dan g ribet bisa cod cek barang dulu baru bayar
positif,"mudah dan praktis,poko nya lazada mantap"
negatif,ongkir gk ngotak
positif,sukses Lazada
positif,"slalu tersedia apapun yg kita mau,keren lah pokoknya mh"
positif,trim's lazada...semoga kedepannya lebih baik lagi...dalam pelayanannya..sebab apapun yg saya inginkan berbelanja di Lazada sudah tersedia.tinggal klik pesan barang langsung dikemas dan diantar sesuai pesanan.👍👍
negatif,banyak bugg pa s loginn
positif,bagus
positif,top
positif,mantap
netral,harus sesuai ekspetasi
positif,sangt bagus
positif,mantapppp
positif,good jobs seller🤗🤗🤗
positif,keren
negatif,di aplikasi lazada banyak sekali para penjual yang menipu.. belinya apa yang di kirim barang apa sangat tidak amanah
negatif,udah selesai di download aplikasinya tapi nggak bisa masuk
positif,"Aplikasinya sangat bagus, dan mudah di gunakan semenjak ada aplikasi lazada belanja jadi mudah tapi tolong di perbagus lagi yaa terima kasih🙏🙏🙏🙏💪"
positif,bagus
positif,bagus
negatif,tolong pihak lazada ..itu yg mengatasnamakan kurir ninja banyak penipuan.. kita di telpon telpon..dengan alasan paket sy salah kirim ke alamat lain..padahal mau nipu
positif,"mantap lazada cara pengirimannya cepat dan barang yang kita pesan, sesuai dengan harapan"
netral,pengguna baru
negatif,"payah banget sekarang voucher gak bisa di gunakan+susah banget di pakai,udah gitu banyak banget persyaratan,dan ongkir juga mahal banget,bahkan jauh lebih mahal dari harga barang,mending yg dulu ketimbang yg sekarang,yg sekarang tuh PAYAH BANGETT!!!"
positif,sangat membantu
netral,aku percaya
positif,good job
positif,okok
negatif,pengiriman nya agak lambat
positif,bagus sangat membantu
positif,mantab
positif,ok mantap sering diskon
positif,Game online Lazada Indonesia menjanjikan.
positif,sangat baikk
negatif,lazada expedisinya jelekk kyak ninja van. jgn blanja dilazada lg banyak penipu
positif,bagus
positif,Terpercaya
positif,bagus recomended
positif,aplikasinya mantap
netral,netral
negatif,"aturan pengaduan customer ke cs, customer harus angkat telfon dari pihak cs, aturan apa itu....????????"
negatif,oke sekarang bintang 5+ tapi mohon tolong gratis ongkirnya kembalikan lagi saya mau belanja tapi ongkir nya mahal. terimakasih....
positif,TOP
positif,puas
negatif,"percuma kumpulin point tapi gak bisa digunakan, karna harganya sama aja mahal2 juga. ditambah skrg gak ada gratis ongkir sama sekali. gak bisa pilih vouchernya tapi otomatis. gak banget dah mending toko oren masih ada gratis ongkirnya. malah makin mahal lazada padhal peminatnya gak banyak2 amat"
netral,sya coba dulu
positif,slalu terdepan... keren sangatttt
positif,Bagus aplikasiny dari aku Masi zaman SMA suka sering belanja buat peralatan sekolhku smpai sekarang smuanya bagus tp mhon yg jualannya menipu agar diban akun penjualny soalny saya pernah ditipu beli kepala dan kabel data charger di lazada pas dipake malah meledak jdi korslet listrikku itu sangat bahaya harap ditindak lanjut penjual yg menipu karna ad kecurangan
positif,saya suka blnja dilazada
positif,aman dapat dipercaya
positif,oke
negatif,"hay lazada ,, sekarang koin lazada jadi susah di pakai karana hampir gax ada potongan koin cuman 1% sampai 25% jadi gax ke pakai tuh koin nya ,, apakah ituh di atur lazada ataw di atur penjual ( seller )"
positif,baik
negatif,"toko tokonya banyak yg tidak amanah, untuk lebih baiknya tk dicek dulu jangan asal masuk, kasian tk2 yg amanah"
negatif,ga sesuai iklan katanya gratis ongkir kenyataannya tetap bayar ongkir
positif,mantap
negatif,Lazada kok sekarang 💩 ya. Udah kaya pemerintah aj yg selalu berpihak kepada orang yg berduit. Ngasih voucher & gratis ongkir aj syarat belanjanya bwt orang2 yg berduit doank. Minimal belanja 200rb. Udah kaya Anjg SriMul nih Lazada. Ikut2an mencekik rakyat kecil
positif,mantap
positif,bagus semua nya
positif,good job
positif,ok.. tepat worth it😊
negatif,"Ada apa dengan lazada sekarang gambarnya gak pada kebuka padahal jaringan bagus,,,, lebih parah lagih sih ni lazada sistem keamanan nyah kurang baik kayanya soal nyah saya pernah ketipu,, ya pokonya hati hati kalo beli mending bayar di tempat daripada di tf,,, tolong di perbaiki lagih lazada sistem keamanan nyah terimakasih"
positif,aplikasi lazada bagus ! tingkat kan terus kwalitas barang yang murah dan berkualitas. serta gratis ongkir nya!! sehingga dpt mendukung efisiensi anggaran yang tepat sasaran. mendukung Indonesia maju berjuang tiada akhir! 🇲🇨❤️🙏
positif,ok
negatif,"Satu poin MINUS LAZADA dibanding Shopee, Proses pengembalian Dana Ribet, dan VERIFIKASI PENARIKAN DANA KE BANK/EWALET SANGAT LAMA...walaupun pengembalian dana dari seller sudah dikembalikan ke Dompet Lazada.."
positif,goodss
positif,mntab
netral,cukup
netral,alhamdulillah
negatif,UNTUK PIHAK LAZADA YANG TERHORMAT. MOHON LEBIH BIJAK LAGI INI SUDAH KE 2 KALI NYA AKUN SAYA TERKUNCI. SAYA HANYA INGIN MENGECEK PESANAN SAYA DI LAZADA LALU MENDADAK SINYAL SAYA HILANG DAN SAYA KELUAR DARI APLIKASI BEBERAPA SAAT SAYA KEMBALI AKUN SAYA TERKUNCI. JADI UNTUK LEBIH SINGKAT NYA SAYA GA SUDI BERBELANJA DISINI LAGI LEBIH BAIK TOKO OREN!
negatif,apk apaan masa gk bisa klaim vocer
positif,mantap
negatif,baik tapi tolong di koreksi yah ke tempat produksi suka ada yang kurang sesuai barng
positif,jjoossssssss
positif,keerrrrreeennn
netral,mohon dibuatkan modus gelap agar nyaman dimata
positif,Sangat membantu untuk keperluan kita
positif,selalau amanah
positif,good
positif,good
positif,"Produk yng dijual berkualitas, pengirman cepat...harga kompetitif"
netral,"akun saya ada di hp yang rusak tapi tali akun nya saya inget,tapi pas mau di buka akun nya akun lazada nya di kunci gimnq ya cara buka kunci nya"
positif,keren
negatif,"voucher gk bisa di pakai sama sekali, tolong lah lazada kalian udah untung kita juga mau untung, padahal udah memenuhi syarat tapi voucher tetep gk bisa di pakai"
positif,aplikasi belanja online yang okzzz
positif,bgus
positif,barang nya bagus bagus👍
positif,baik
positif,banyak diskon
positif,lazada debes
negatif,"aplikasi ga jelassss, aku beli barang 2 kali ga dikirim dengan benar, kurirnya bilangnya dah di anter ke alamat padahal belum, harusnya bisa ngasih keterangan yang jelas lah kenapa ga bisa dateng paketnya, udah nunggu sampe 3 minggu lebih malah ternyata dibatalin. ongkirnya jg gila banget, dann iklannya jelek! ganggu aja kalau lagi buka web atau apa malah muncul iklan lazada, kalau iklannya bagus mah gapapa, ini iklannya burik, jelek, ga jelas, bikin emosi aja setiap iklan lazada muncul."
negatif,"lazada jika gak ada even promo ongkirnya gak ngotak,mana gak ada pilihan expedisi pula.....kalah jauh ama shopee....sory klo terlalu jujur"
positif,perfect
positif,bagus
netral,"kadang lemot kadang oke🤔, jaringan sinyal sy bgus padahal"
positif,"min jujur puas banget sama diskon pengguna baru, tapi tapi tapi boleh ga Adain lagi soalnya nguntungin banget🤭"
positif,mantap
negatif,iklan lu ganggu tlol
positif,aplikasi ini bagus
negatif,untuk apk lazada kurang aman karena ada pihak yg mengaku2 dan bahkan tau nomer resi paket saya yg belum di kirem alhasil banyak penipuan dan saya tertipu jutaan dengan nomer resi yg sama dengan paket
positif,om suka banget belanja di sini
positif,pengiriman aman
positif,mantafff mkasih lazada
negatif,sudah tidak rekomendet pakai aplikasi ini banyak penipu sellernya pengiriman juga lambat
positif,cepet sampe babarang sesuai
positif,makasih mantap
positif,baik
positif,mantap produk lengkap fiturnya pun memuaskan
negatif,"gila ongkos kirim mahal nian gak sesuai dang harga barang, harga barangnya murah tapi ongkirnya mahal gak ada gratis ongkir, tidak kayak aplikasi sebelah bayak gratis ongkir aplikasi ini kalau salah pilih ada toko yang curang jual barang maling murah dari barang yang asli di jual karena saya sudah pernah di tipu dangan toko yang ada aplikasi lazada ini"
positif,mantap
positif,lasada memang ok
positif,mantaaap cepattt
positif,bagus
positif,Mudah belanja di Lazada
negatif,woy lazadaaa kemanaaa gratis ongkir luuuuuu.
positif,sangat baik..
positif,mantap
negatif,"kecewa banget sma lazada, udah ongkirnya sangat mahal..! sya mau bayar lazbon 1 cicilan sesuai tanggal kenapa gak bisa knpa harus sekalian 3 cicilan..!?? parah gak sesuai perjanjian ini namanya, bayar gak pernah telat lazbon di bekukan..! kalo gak ada perubahan ya sya uninstall nanti"
negatif,lazada aneh ih masa paylater udah di bayar saldonya GK masuk masih nol aja udah sekarang ongkir nya mahal2 bnget gimana pelanggan GK PDA kabur kalau gitu caranya dulu sering bnget blnja di lazada sekarang ongkir nya mahal bngt jadi mikir2 lagi mau beli barang di lazada
positif,emang pas dan cocok
negatif,banyak barang fake
positif,keren banget
negatif,niat bikin aplikasi ? baru download mau co barang malah dibilang nomer udah dipake kan tolol ! nomer baru mau dipake siape !! aplikasi idiot !
negatif,kemaren aku tertipu oleh toko di lazada...beli mesin cukur datang sendal jepit....harap toko yg seperti itu di block aja...merusak nama baik
positif,barang yg sesuai jadi ketagihan belanja di lazada
positif,produk dan kualitas nya terjangkau
negatif,belum begitu manyenangkan
netral,sering buat harga promo
netral,"Jujur saya pelanggan setia lazada, cuman saya mau memberi saran mohon untuk nama Bank BSI di masukan sehingga saya bisa membayar paylater atau barang apapun dengan mudah terimakasih 🙏😊"
positif,sabun super poool aku suka
netral,lazada tampilannya perlu diperbaiki agar lebih simpel terus jaringannya diperbagus
positif,ok
negatif,"lazada aplikasi online shop yg terburuk gak bisa bantu masalah penipuan owner² toko yg gabung di mereka .. gak kaya shope , langsung bisa klik pengembalian barang jika tidak sesuai yg di order .. lazada sangat buruk"
negatif,"Aku setia sama lazada setiap minggu belanja, walaupun sering kecewa sama barang yg ga sesuai, blm pernah retun pengiriman ga tepat waktu kadang sampai malam jam 23. terakhir gagal pengiriman harusnya tgl 3 di konfirmasi tgl 6 taunya tgl 4 datang pas ga da org dirumah. yg salah siapa yg kena suster siapa."
negatif,pas mau banyar ihhh banyak loading jengkel niat ngga sih ini aplikasi
positif,mantap
positif,bagus banyak promo + gratis ongkir
negatif,"ngasih ongkirnya GK kira"""
netral,Tolong buka akun google di aplikasi ini
positif,mantap
negatif,sangat kecewa sama lazada semua nomer kurir yang terdaftar di lazada gak ada WA nya semua pengiriman lambat nomer kurir nya gak ada WA nya semua tolong kurir lazada di perbaiki lagi tolong nomor kurir nya kasih nomor WA nya yang di daftar kan di lazada
positif,Lazada is the best daripada
negatif,sempat dpat barang rusak👍🥹
negatif,"awal bagus ak ksih ranting 5 skrg ak kasih 3 makin lama sistem pemesan dn pengiriman lambat bgt prosesnya dulu jkt ke sragen jateng 3-4 hr skrang 6-7 hri, beda sam tetengga masih 3-4hr ud sampe..."
positif,mantab
