label,content,clean,norm,stop,token,stem
netral,Please tambahin dark mode brooo,please tambahin dark mode brooo, please tambahin dark mode brooo , please tambahin dark mode brooo ,"['please', 'tambahin', 'dark', 'mode', 'brooo']",please tambahin dark mode brooo
netral,"hampir semua aplikasi belanja online ad call center, dll kalo ad keluhan, dsb.. TPI kenyataan nyah GK sesuai... ap yg paparkan d dalam aplikasi...",hampir semua aplikasi belanja online ad call center dll kalo ad keluhan dsb tpi kenyataan nyah gk sesuai ap yg paparkan d dalam aplikasi, hampir semua aplikasi belanja online ad call center dll kalo ad keluhan dsb tpi kenyataan nyah gk sesuai ap yang paparkan d dalam aplikasi , hampir semua aplikasi belanja online ad call center kalo ad keluhan tpi kenyataan nyah gk sesuai ap paparkan d aplikasi ,"['hampir', 'semua', 'aplikasi', 'belanja', 'online', 'ad', 'call', 'center', 'kalo', 'ad', 'keluhan', 'tpi', 'kenyataan', 'nyah', 'gk', 'sesuai', 'ap', 'paparkan', 'd', 'aplikasi']",hampir semua aplikasi belanja online ad call center kalo ad keluh tpi nyata nyah gk sesuai ap papar d aplikasi
positif,Penilaian Jujur Untuk Aplikasi Blibli Sangat Bagus. Tingkatkan Terus Untuk Update & Fitur Di Dalam Aplikasinya 😊. Terimakasih..,penilaian jujur untuk aplikasi blibli sangat bagus tingkatkan terus untuk update fitur di dalam aplikasinya terimakasih, penilaian jujur untuk aplikasi blibli sangat bagus tingkatkan terus untuk update fitur di dalam aplikasinya terimakasih , penilaian jujur aplikasi blibli bagus tingkatkan terus update fitur dalam aplikasinya terimakasih ,"['penilaian', 'jujur', 'aplikasi', 'blibli', 'bagus', 'tingkatkan', 'terus', 'update', 'fitur', 'dalam', 'aplikasinya', 'terimakasih']",nilai jujur aplikasi blibli bagus tingkat terus update fitur dalam aplikasi terimakasih
positif,ok mantap,ok mantap, ok mantap , mantap ,['mantap'],mantap
positif,"Mantap kawan,trmks 🥰😘👍",mantap kawantrmks, mantap kawantrmks , mantap kawantrmks ,"['mantap', 'kawantrmks']",mantap kawantrmks
negatif,parah diriku aku daftar kok gak bisa² akun eror🤦‍♂️,parah diriku aku daftar kok gak bisa akun eror, parah diriku aku daftar kok tidak bisa akun eror , parah diriku aku daftar kok bisa akun eror ,"['parah', 'diriku', 'aku', 'daftar', 'kok', 'bisa', 'akun', 'eror']",parah diri aku daftar kok bisa akun eror
netral,Terimakasih semoga bermanfaat bagi sesama,terimakasih semoga bermanfaat bagi sesama, terimakasih semoga bermanfaat bagi sesama , terimakasih semoga bermanfaat sesama ,"['terimakasih', 'semoga', 'bermanfaat', 'sesama']",terimakasih moga manfaat sama
negatif,"parah banget ya blibli , plsaya pake yg instan, maksudnya biar cepet langsung datang gitu,,, tulisan nya doang instan, di jamin tiba hari ini jugaaa,preeeettt lo ah sampai sekarang blm datang datang juga barang yg gw pesen ,,, bedakan banget sama aplikasi Orange, pelayanan nya jelek banget, kapok belanja disni , aaamiit2 dah",parah banget ya blibli plsaya pake yg instan maksudnya biar cepet langsung datang gitu tulisan nya doang instan di jamin tiba hari ini jugaaapreeeettt lo ah sampai sekarang blm datang datang juga barang yg gw pesen bedakan banget sama aplikasi orange pelayanan nya jelek banget kapok belanja disni aaamiit2 dah, parah banget ya blibli plsaya pake yang instan maksudnya biar cepet langsung datang gitu tulisan nya doang instan di jamin tiba hari ini jugaaapreeeettt lo ah sampai sekarang blm datang datang juga barang yang gw pesen bedakan banget sama aplikasi orange pelayanan nya jelek banget kapok belanja disni aaamiit2 dah , parah banget blibli plsaya pake instan maksudnya biar cepet langsung datang gitu tulisan nya doang instan jamin tiba hari jugaaapreeeettt lo ah sekarang blm datang datang barang gw pesen bedakan banget sama aplikasi orange pelayanan nya jelek banget kapok belanja disni aaamiit2 dah ,"['parah', 'banget', 'blibli', 'plsaya', 'pake', 'instan', 'maksudnya', 'biar', 'cepet', 'langsung', 'datang', 'gitu', 'tulisan', 'nya', 'doang', 'instan', 'jamin', 'tiba', 'hari', 'jugaaapreeeettt', 'lo', 'ah', 'sekarang', 'blm', 'datang', 'datang', 'barang', 'gw', 'pesen', 'bedakan', 'banget', 'sama', 'aplikasi', 'orange', 'pelayanan', 'nya', 'jelek', 'banget', 'kapok', 'belanja', 'disni', 'aaamiit2', 'dah']",parah banget blibli plsaya pake instan maksud biar cepet langsung datang gitu tulis nya doang instan jamin tiba hari jugaaapreeeettt lo ah sekarang blm datang datang barang gw sen beda banget sama aplikasi orange layan nya jelek banget kapok belanja disni aaamiit2 dah
positif,top,top, top , top ,['top'],top
negatif,kecewa bgt pengiriman lama! cs ga jawab sesuai intruksi! pdhl baru join kirain oke ternyata gk bgt baru kali ini kesel,kecewa bgt pengiriman lama cs ga jawab sesuai intruksi pdhl baru join kirain oke ternyata gk bgt baru kali ini kesel, kecewa bgt pengiriman lama cs tidak jawab sesuai intruksi pdhl baru join kirain oke ternyata gk bgt baru kali ini kesel , kecewa bgt pengiriman lama cs jawab sesuai intruksi pdhl join kirain oke ternyata gk bgt kali kesel ,"['kecewa', 'bgt', 'pengiriman', 'lama', 'cs', 'jawab', 'sesuai', 'intruksi', 'pdhl', 'join', 'kirain', 'oke', 'ternyata', 'gk', 'bgt', 'kali', 'kesel']",kecewa bgt kirim lama cs jawab sesuai intruksi pdhl join kirain oke nyata gk bgt kali kesel
positif,sangat bagus,sangat bagus, sangat bagus , bagus ,['bagus'],bagus
positif,mantul,mantul, mantul , mantul ,['mantul'],mantul
positif,Terimakasih Blibli Barang yang kami butuhkan hanya tersedia disini.,terimakasih blibli barang yang kami butuhkan hanya tersedia disini, terimakasih blibli barang yang kami butuhkan hanya tersedia disini , terimakasih blibli barang kami butuhkan tersedia disini ,"['terimakasih', 'blibli', 'barang', 'kami', 'butuhkan', 'tersedia', 'disini']",terimakasih blibli barang kami butuh sedia sini
positif,bagus,bagus, bagus , bagus ,['bagus'],bagus
negatif,"setiap bulan pengiriman selalu lewat dari estimasi, harus selalu dikomplain baru dikirim !!!!! agent pun gak profesional!!!!!",setiap bulan pengiriman selalu lewat dari estimasi harus selalu dikomplain baru dikirim agent pun gak profesional, setiap bulan pengiriman selalu lewat dari estimasi harus selalu dikomplain baru dikirim agent pun tidak profesional , bulan pengiriman selalu lewat estimasi selalu dikomplain dikirim agent tidak profesional ,"['bulan', 'pengiriman', 'selalu', 'lewat', 'estimasi', 'selalu', 'dikomplain', 'dikirim', 'agent', 'tidak', 'profesional']",bulan kirim selalu lewat estimasi selalu komplain kirim agent tidak profesional
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
negatif,beberapa barang sudah tidak bisa kirim ke sulawesi lagi :( kecewa dengan blibli sekarang,beberapa barang sudah tidak bisa kirim ke sulawesi lagi kecewa dengan blibli sekarang, beberapa barang sudah tidak bisa kirim ke sulawesi lagi kecewa dengan blibli sekarang , barang tidak kirim sulawesi kecewa blibli sekarang ,"['barang', 'tidak', 'kirim', 'sulawesi', 'kecewa', 'blibli', 'sekarang']",barang tidak kirim sulawesi kecewa blibli sekarang
positif,Bagus,bagus, bagus , bagus ,['bagus'],bagus
positif,gas,gas, gas , gas ,['gas'],gas
netral,Semoga Blibli dapat dipercaya untuk seterusnya dan amanah selalu.,semoga blibli dapat dipercaya untuk seterusnya dan amanah selalu, semoga blibli dapat dipercaya untuk seterusnya dan amanah selalu , semoga blibli dipercaya seterusnya amanah selalu ,"['semoga', 'blibli', 'dipercaya', 'seterusnya', 'amanah', 'selalu']",moga blibli percaya terus amanah selalu
positif,mantap dah,mantap dah, mantap dah , mantap dah ,"['mantap', 'dah']",mantap dah
positif,Bagus App $BELI,bagus app beli, bagus app beli , bagus app beli ,"['bagus', 'app', 'beli']",bagus app beli
netral,Paylatter masih di proses semoga di acc 🙏,paylatter masih di proses semoga di acc, paylatter masih di proses semoga di acc , paylatter proses semoga di acc ,"['paylatter', 'proses', 'semoga', 'di', 'acc']",paylatter proses moga di acc
netral,tidak bisa di buka padahal jaringan dan sinyal bagus tidak ada kendala,tidak bisa di buka padahal jaringan dan sinyal bagus tidak ada kendala, tidak bisa di buka padahal jaringan dan sinyal bagus tidak ada kendala , bisa buka padahal jaringan sinyal bagus ada kendala ,"['bisa', 'buka', 'padahal', 'jaringan', 'sinyal', 'bagus', 'ada', 'kendala']",bisa buka padahal jaring sinyal bagus ada kendala
negatif,"aplikasi ini kurang cepat menanggapi orang yang ketipu dari aplikasi ini. semoga tidak terulang lagi saya rugi 900rb tetapi pihak aplikasi ini dan cs nya tidak cepat menanggapi kecewa saya lihat aplikasi ini. banyak x cerita kalian gak usah kalian tampilkan no cs kalian. ketika aku nelpon cs kalian disaat aku ditipu sebelum 1 jam berlangsung, tidak ada eksekusi kalian.bukannya kalian menghubungi pihak toko tersebut malah disuruh menunggu sampai tgl 29 agustus ternyata barang sudah Sampek tgl 28",aplikasi ini kurang cepat menanggapi orang yang ketipu dari aplikasi ini semoga tidak terulang lagi saya rugi 900rb tetapi pihak aplikasi ini dan cs nya tidak cepat menanggapi kecewa saya lihat aplikasi ini banyak x cerita kalian gak usah kalian tampilkan no cs kalian ketika aku nelpon cs kalian disaat aku ditipu sebelum 1 jam berlangsung tidak ada eksekusi kalianbukannya kalian menghubungi pihak toko tersebut malah disuruh menunggu sampai tgl 29 agustus ternyata barang sudah sampek tgl 28, aplikasi ini kurang cepat menanggapi orang yang ketipu dari aplikasi ini semoga tidak terulang lagi saya rugi 900rb tetapi pihak aplikasi ini dan cs nya tidak cepat menanggapi kecewa saya lihat aplikasi ini banyak x cerita kalian tidak usah kalian tampilkan no cs kalian ketika aku nelpon cs kalian disaat aku ditipu sebelum 1 jam berlangsung tidak ada eksekusi kalianbukannya kalian menghubungi pihak toko tersebut malah disuruh menunggu sampai tgl 29 agustus ternyata barang sudah sampek tgl 28 , aplikasi kurang cepat menanggapi orang ketipu aplikasi semoga terulang rugi 900rb pihak aplikasi dan cs nya cepat menanggapi kecewa saya lihat aplikasi banyak x cerita usah tampilkan no cs ketika aku nelpon cs disaat aku ditipu 1 jam berlangsung tidak ada eksekusi kalianbukannya menghubungi pihak toko tersebut malah disuruh menunggu tgl 29 agustus ternyata barang sampek tgl 28 ,"['aplikasi', 'kurang', 'cepat', 'menanggapi', 'orang', 'ketipu', 'aplikasi', 'semoga', 'terulang', 'rugi', '900rb', 'pihak', 'aplikasi', 'dan', 'cs', 'nya', 'cepat', 'menanggapi', 'kecewa', 'saya', 'lihat', 'aplikasi', 'banyak', 'x', 'cerita', 'usah', 'tampilkan', 'no', 'cs', 'ketika', 'aku', 'nelpon', 'cs', 'disaat', 'aku', 'ditipu', '1', 'jam', 'berlangsung', 'tidak', 'ada', 'eksekusi', 'kalianbukannya', 'menghubungi', 'pihak', 'toko', 'tersebut', 'malah', 'disuruh', 'menunggu', 'tgl', '29', 'agustus', 'ternyata', 'barang', 'sampek', 'tgl', '28']",aplikasi kurang cepat tanggap orang tipu aplikasi moga ulang rugi 900rb pihak aplikasi dan cs nya cepat tanggap kecewa saya lihat aplikasi banyak x cerita usah tampil no cs ketika aku nelpon cs saat aku tipu 1 jam langsung tidak ada eksekusi kalianbukannya hubung pihak toko sebut malah suruh tunggu tgl 29 agustus nyata barang sampek tgl 28
negatif,nunggu proses veripikasi wajah saja sampai berjam jam ujung ujungnya pengajuan ditolak,nunggu proses veripikasi wajah saja sampai berjam jam ujung ujungnya pengajuan ditolak, nunggu proses veripikasi wajah saja sampai berjam jam ujung ujungnya pengajuan ditolak , nunggu proses veripikasi wajah sampai berjam jam ujung ujungnya pengajuan ditolak ,"['nunggu', 'proses', 'veripikasi', 'wajah', 'sampai', 'berjam', 'jam', 'ujung', 'ujungnya', 'pengajuan', 'ditolak']",nunggu proses veripikasi wajah sampai jam jam ujung ujung aju tolak
positif,layanan yang cepat,layanan yang cepat, layanan yang cepat , layanan cepat ,"['layanan', 'cepat']",layan cepat
positif,keren,keren, keren , keren ,['keren'],keren
negatif,susah untuk masuk lagi.gampang eror,susah untuk masuk lagigampang eror, susah untuk masuk lagigampang eror , susah masuk lagigampang eror ,"['susah', 'masuk', 'lagigampang', 'eror']",susah masuk lagigampang eror
positif,bagus pasti ori,bagus pasti ori, bagus pasti ori , bagus ori ,"['bagus', 'ori']",bagus ori
positif,awal coba2 sekarang jadi sering beli kesini setiap bulan ..lumayan banyak diskon dan pengiriman cepat lagi terpercaya,awal coba2 sekarang jadi sering beli kesini setiap bulan lumayan banyak diskon dan pengiriman cepat lagi terpercaya, awal coba2 sekarang jadi sering beli kesini setiap bulan lumayan banyak diskon dan pengiriman cepat lagi terpercaya , awal coba2 sekarang jadi sering beli kesini bulan lumayan diskon pengiriman cepat terpercaya ,"['awal', 'coba2', 'sekarang', 'jadi', 'sering', 'beli', 'kesini', 'bulan', 'lumayan', 'diskon', 'pengiriman', 'cepat', 'terpercaya']",awal coba2 sekarang jadi sering beli kesini bulan lumayan diskon kirim cepat percaya
negatif,aplikasi jelek dan ribet,aplikasi jelek dan ribet, aplikasi jelek dan ribet , aplikasi jelek ribet ,"['aplikasi', 'jelek', 'ribet']",aplikasi jelek ribet
positif,"ntah saya merasa blibli lebih baik, barang apapun pasti ori!! suka dehh!! :)",ntah saya merasa blibli lebih baik barang apapun pasti ori suka dehh, ntah saya merasa blibli lebih baik barang apapun pasti ori suka dehh , ntah merasa blibli baik barang apapun ori suka dehh ,"['ntah', 'merasa', 'blibli', 'baik', 'barang', 'apapun', 'ori', 'suka', 'dehh']",ntah rasa blibli baik barang apa ori suka dehh
positif,apknya mantap kilat sangat membantu bagi yg sibuk dan darurat,apknya mantap kilat sangat membantu bagi yg sibuk dan darurat, apknya mantap kilat sangat membantu bagi yang sibuk dan darurat , apknya mantap kilat membantu yang sibuk darurat ,"['apknya', 'mantap', 'kilat', 'membantu', 'yang', 'sibuk', 'darurat']",apknya mantap kilat bantu yang sibuk darurat
positif,mantab,mantab, mantab , mantab ,['mantab'],mantab
netral,"TUTORIAL CARA MANFAATIN DISKON PENGGUNA BARU BLIBLI CARANYA CLONE BROWSER NYA MENGGUNAKKAN CLONEAPP YANG BANYAK DAFTAR/BELI NOKOS/OTP WEB ( banyak banget penyedianya ) PILIH BARANG DIBAWAH HARGA DISKON,,,DONE CEKOUT... SELAMAT ANDA MENDAPATKAN BANYAK BARANG DISKON DARI BLIBLI",tutorial cara manfaatin diskon pengguna baru blibli caranya clone browser nya menggunakkan cloneapp yang banyak daftarbeli nokosotp web banyak banget penyedianya pilih barang dibawah harga diskondone cekout selamat anda mendapatkan banyak barang diskon dari blibli, tutorial cara manfaatin diskon pengguna baru blibli caranya clone browser nya menggunakkan cloneapp yang banyak daftarbeli nokosotp web banyak banget penyedianya pilih barang dibawah harga diskondone cekout selamat anda mendapatkan banyak barang diskon dari blibli , tutorial cara manfaatin diskon pengguna blibli caranya clone browser nya menggunakkan cloneapp daftarbeli nokosotp web banget penyedianya pilih barang dibawah harga diskondone cekout selamat mendapatkan banyak barang diskon blibli ,"['tutorial', 'cara', 'manfaatin', 'diskon', 'pengguna', 'blibli', 'caranya', 'clone', 'browser', 'nya', 'menggunakkan', 'cloneapp', 'daftarbeli', 'nokosotp', 'web', 'banget', 'penyedianya', 'pilih', 'barang', 'dibawah', 'harga', 'diskondone', 'cekout', 'selamat', 'mendapatkan', 'banyak', 'barang', 'diskon', 'blibli']",tutorial cara manfaatin diskon guna blibli cara clone browser nya menggunakkan cloneapp daftarbeli nokosotp web banget sedia pilih barang bawah harga diskondone cekout selamat dapat banyak barang diskon blibli
netral,yaa,yaa, yaa , yaa ,['yaa'],yaa
netral,oke lah,oke lah, oke lah , oke lah ,"['oke', 'lah']",oke lah
negatif,abis istal g bsa d buka karna pas promo jga jadi langsung unistal...,abis istal g bsa d buka karna pas promo jga jadi langsung unistal, abis istal g bsa d buka karna pas promo jga jadi langsung unistal , abis istal g bsa d buka karna pas promo jga jadi langsung unistal ,"['abis', 'istal', 'g', 'bsa', 'd', 'buka', 'karna', 'pas', 'promo', 'jga', 'jadi', 'langsung', 'unistal']",abis istal g bsa d buka karna pas promo jga jadi langsung unistal
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
positif,"Balik lagi ke Blibli barang di jamin ori. box, pengantaran dan harga sangat bisa bersaing sekarang. thanks Blibli",balik lagi ke blibli barang di jamin ori box pengantaran dan harga sangat bisa bersaing sekarang thanks blibli, balik lagi ke blibli barang di jamin ori box pengantaran dan harga sangat bisa bersaing sekarang thanks blibli , balik ke blibli barang jamin ori box pengantaran harga bisa bersaing sekarang thanks blibli ,"['balik', 'ke', 'blibli', 'barang', 'jamin', 'ori', 'box', 'pengantaran', 'harga', 'bisa', 'bersaing', 'sekarang', 'thanks', 'blibli']",balik ke blibli barang jamin ori box antar harga bisa saing sekarang thanks blibli
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
positif,membantu,membantu, membantu , membantu ,['membantu'],bantu
negatif,giliran cekout pake voucher loading nya dibikin lama. pke ada tulisan salah jln. tp klu g pke voucher cepet bgt loading nya,giliran cekout pake voucher loading nya dibikin lama pke ada tulisan salah jln tp klu g pke voucher cepet bgt loading nya, giliran cekout pake voucher loading nya dibikin lama pke ada tulisan salah jln tp klu g pke voucher cepet bgt loading nya , giliran cekout pake voucher loading nya dibikin lama pke tulisan salah jln tp klu g pke voucher cepet bgt loading nya ,"['giliran', 'cekout', 'pake', 'voucher', 'loading', 'nya', 'dibikin', 'lama', 'pke', 'tulisan', 'salah', 'jln', 'tp', 'klu', 'g', 'pke', 'voucher', 'cepet', 'bgt', 'loading', 'nya']",gilir cekout pake voucher loading nya bikin lama pke tulis salah jln tp klu g pke voucher cepet bgt loading nya
netral,menyenangkan,menyenangkan, menyenangkan , menyenangkan ,['menyenangkan'],senang
netral,Opsi,opsi, opsi , opsi ,['opsi'],opsi
positif,good service,good service, good service , good service ,"['good', 'service']",good service
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
netral,aplikasinya sampah banget poin tiket reedemnya di blibli tapi gabisa kebuka ngeblank kedap kedip.,aplikasinya sampah banget poin tiket reedemnya di blibli tapi gabisa kebuka ngeblank kedap kedip, aplikasinya sampah banget poin tiket reedemnya di blibli tapi gabisa kebuka ngeblank kedap kedip , aplikasinya sampah banget poin tiket reedemnya blibli gabisa kebuka ngeblank kedap kedip ,"['aplikasinya', 'sampah', 'banget', 'poin', 'tiket', 'reedemnya', 'blibli', 'gabisa', 'kebuka', 'ngeblank', 'kedap', 'kedip']",aplikasi sampah banget poin tiket reedemnya blibli gabisa buka ngeblank kedap kedip
positif,sangat bagus,sangat bagus, sangat bagus , bagus ,['bagus'],bagus
netral,semoga beli disini bnyak discon,semoga beli disini bnyak discon, semoga beli disini bnyak discon , semoga beli disini bnyak discon ,"['semoga', 'beli', 'disini', 'bnyak', 'discon']",moga beli sini bnyak discon
positif,mantap belanja di blibli,mantap belanja di blibli, mantap belanja di blibli , mantap belanja blibli ,"['mantap', 'belanja', 'blibli']",mantap belanja blibli
negatif,"makin kesini makin buruk pelayanannya, main batalkan pesanan secara sepihak tanpa ada penjelasan.refund lama sekali serta voucher yang dipakai jadi tidak bisa digunakan untuk pesan ulang pantas saja e commerce ini sepi dibanding shopee Dan lazada",makin kesini makin buruk pelayanannya main batalkan pesanan secara sepihak tanpa ada penjelasanrefund lama sekali serta voucher yang dipakai jadi tidak bisa digunakan untuk pesan ulang pantas saja e commerce ini sepi dibanding shopee dan lazada, makin kesini makin buruk pelayanannya main batalkan pesanan secara sepihak tanpa ada penjelasanrefund lama sekali serta voucher yang dipakai jadi tidak bisa digunakan untuk pesan ulang pantas saja e commerce ini sepi dibanding shopee dan lazada , makin kesini makin buruk pelayanannya main batalkan pesanan sepihak ada penjelasanrefund lama sekali voucher dipakai jadi bisa digunakan pesan ulang pantas e commerce sepi dibanding shopee lazada ,"['makin', 'kesini', 'makin', 'buruk', 'pelayanannya', 'main', 'batalkan', 'pesanan', 'sepihak', 'ada', 'penjelasanrefund', 'lama', 'sekali', 'voucher', 'dipakai', 'jadi', 'bisa', 'digunakan', 'pesan', 'ulang', 'pantas', 'e', 'commerce', 'sepi', 'dibanding', 'shopee', 'lazada']",makin kesini makin buruk layan main batal pesan pihak ada penjelasanrefund lama sekali voucher pakai jadi bisa guna pesan ulang pantas e commerce sepi banding shopee lazada
positif,good,good, good , good ,['good'],good
netral,warbiasa,warbiasa, warbiasa , warbiasa ,['warbiasa'],warbiasa
positif,"Cepat prosesnya, puas",cepat prosesnya puas, cepat prosesnya puas , cepat prosesnya puas ,"['cepat', 'prosesnya', 'puas']",cepat proses puas
netral,Easypay,easypay, easypay , easypay ,['easypay'],easypay
netral,wow,wow, wow , wow ,['wow'],wow
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
netral,pengajuan di tolak terus aneh 6 x coba 6 x di tolak,pengajuan di tolak terus aneh 6 x coba 6 x di tolak, pengajuan di tolak terus aneh 6 x coba 6 x di tolak , pengajuan tolak terus aneh 6 x coba 6 x tolak ,"['pengajuan', 'tolak', 'terus', 'aneh', '6', 'x', 'coba', '6', 'x', 'tolak']",aju tolak terus aneh 6 x coba 6 x tolak
netral,good joob,good joob, good joob , good joob ,"['good', 'joob']",good joob
positif,ok sippp,ok sippp, ok sippp , sippp ,['sippp'],sippp
negatif,"jir kna tipu isi saldo d app ini dari smalam kga masuk""...malah d pinta no nik ktp parah hati"" para penguna baru ...biar kga ada yg kena tipu lagi kya saya",jir kna tipu isi saldo d app ini dari smalam kga masukmalah d pinta no nik ktp parah hati para penguna baru biar kga ada yg kena tipu lagi kya saya, jir kna tipu isi saldo d app ini dari smalam kga masukmalah d pinta no nik ktp parah hati para penguna baru biar kga ada yang kena tipu lagi kya saya , jir kna tipu isi saldo d app dari smalam kga masukmalah d pinta no nik ktp parah hati penguna biar kga yang kena tipu kya ,"['jir', 'kna', 'tipu', 'isi', 'saldo', 'd', 'app', 'dari', 'smalam', 'kga', 'masukmalah', 'd', 'pinta', 'no', 'nik', 'ktp', 'parah', 'hati', 'penguna', 'biar', 'kga', 'yang', 'kena', 'tipu', 'kya']",jir kna tipu isi saldo d app dari smalam kga masukmalah d pinta no nik ktp parah hati penguna biar kga yang kena tipu kya
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
positif,"keren dan cepat, di tambah enteng aplikasinya ngga lemot",keren dan cepat di tambah enteng aplikasinya ngga lemot, keren dan cepat di tambah enteng aplikasinya tidak lemot , keren cepat tambah enteng aplikasinya lemot ,"['keren', 'cepat', 'tambah', 'enteng', 'aplikasinya', 'lemot']",keren cepat tambah enteng aplikasi lot
